IQ-TREE multicore version 1.6.12 for Mac OS X 64-bit built Aug 15 2019
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    oblios-MacBook-Pro.local (AVX2, FMA3, 16 GB RAM)
Command: ../../../../../../Downloads/iqtree-1.6.12-MacOSX/bin/iqtree -s OC_RNA1_Alignment.phy -m MF
Seed:    478720 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Wed Feb  8 09:05:18 2023
Kernel:  AVX+FMA - 1 threads (8 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 8 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file OC_RNA1_Alignment.phy ... Phylip format detected
Alignment most likely contains DNA/RNA sequences
WARNING: 5 sites contain only gaps or ambiguous characters.
Alignment has 35 sequences with 1711 columns, 401 distinct patterns
319 parsimony-informative, 37 singleton sites, 1355 constant sites
            Gap/Ambiguity  Composition  p-value
   1  Minnesota_    0.41%    passed     99.61%
   2  kitchen_Co    2.28%    passed     99.84%
   3  2_2019_Col    2.05%    passed     99.98%
   4  2017_Color    1.52%    passed     99.77%
   5  2_2018_Col    1.23%    passed     99.65%
   6  1_Brazil_2    5.32%    passed     98.60%
   7  2_Brazil_2    2.98%    passed     99.84%
   8  Galbut_vir   20.81%    passed     87.25%
   9  MEL195G_Au    2.51%    passed     99.52%
  10  MEL187G_Au    2.51%    passed     99.52%
  11  MEL193G_Au    2.51%    passed     99.52%
  12  MEL163G_Au    2.51%    passed     99.90%
  13  2016_Color    1.40%    passed     99.75%
  14  MARplus223    2.51%    passed     99.28%
  15  MEL191G_Au    2.51%    passed     99.41%
  16  INNminus21    2.51%    passed     99.52%
  17  NNplus1222    2.51%    passed     97.85%
  18  2_Haiti_20    1.29%    passed     96.55%
  19  1_Haiti_20    1.75%    passed     97.78%
  20  5_Brazil_2    3.92%    passed     97.63%
  21  4_Brazil_2    2.57%    passed    100.00%
  22  MELplus216    2.51%    passed     87.35%
  23  California    3.04%    passed     95.54%
  24  K119_Austr    2.69%    passed     95.92%
  25  Drosophila    7.66%    passed     99.44%
  26  Brazil_202    9.76%    passed     99.21%
  27  Canada_201   15.31%    passed     99.00%
  28  1_2019_Col   27.29%    passed     33.72%
  29  1_2018_Col    5.84%    passed     93.12%
  30  3_Brazil_2    6.66%    passed     95.86%
  31  MEL216G_Au    2.92%    passed     96.72%
  32  COFminus18    2.51%    passed     98.94%
  33  MARminus11    2.51%    passed     85.63%
  34  COFplus323    2.51%    passed     94.22%
  35  HUNminus16    2.51%    passed     92.75%
****  TOTAL         4.61%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: MEL187G_Au is identical to MEL195G_Au but kept for subsequent analysis
NOTE: 1 identical sequences (see below) will be ignored for subsequent analysis
NOTE: MEL193G_Au (identical to MEL195G_Au) is ignored but added at the end

For your convenience alignment with unique sequences printed to OC_RNA1_Alignment.phy.uniqueseq.phy


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 4 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1711) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            6530.594     65  13191.188    13196.404    13545.102
  2  JC+I          6249.003     66  12630.005    12635.385    12989.364
  3  JC+G4         6244.775     66  12621.549    12626.929    12980.908
  4  JC+I+G4       6233.043     67  12600.085    12605.631    12964.889
  5  JC+R2         6232.300     67  12598.600    12604.146    12963.404
  6  JC+R3         6231.784     69  12601.568    12607.455    12977.262
 14  F81+F         6506.038     68  13148.076    13153.791    13518.324
 15  F81+F+I       6218.808     69  12575.615    12581.502    12951.309
 16  F81+F+G4      6214.713     69  12567.425    12573.312    12943.119
 17  F81+F+I+G4    6202.817     70  12545.633    12551.694    12926.771
 18  F81+F+R2      6201.876     70  12543.752    12549.813    12924.890
 19  F81+F+R3      6201.766     72  12547.533    12553.950    12939.561
 27  K2P           6218.284     66  12568.568    12573.948    12927.927
 28  K2P+I         5908.525     67  11951.049    11956.595    12315.853
 29  K2P+G4        5904.711     67  11943.422    11948.968    12308.226
 30  K2P+I+G4      5889.299     68  11914.598    11920.313    12284.847
 31  K2P+R2        5887.294     68  11910.588    11916.303    12280.836
 32  K2P+R3        5887.154     70  11914.307    11920.368    12295.446
 40  HKY+F         6183.087     69  12504.173    12510.060    12879.867
 41  HKY+F+I       5860.137     70  11860.273    11866.334    12241.411
 42  HKY+F+G4      5856.581     70  11853.163    11859.224    12234.301
 43  HKY+F+I+G4    5841.198     71  11824.397    11830.635    12210.980
 44  HKY+F+R2      5840.490     71  11822.981    11829.219    12209.564
 45  HKY+F+R3      5840.290     73  11826.580    11833.180    12224.053
 53  TNe           6193.774     67  12521.548    12527.094    12886.352
 54  TNe+I         5897.874     68  11931.747    11937.462    12301.996
 55  TNe+G4        5891.379     68  11918.758    11924.473    12289.007
 56  TNe+I+G4      5876.205     69  11890.409    11896.296    12266.103
 57  TNe+R2        5874.622     69  11887.243    11893.130    12262.937
 58  TNe+R3        5874.401     71  11890.801    11897.039    12277.384
 66  TN+F          6157.420     70  12454.840    12460.901    12835.978
 67  TN+F+I        5852.144     71  11846.289    11852.527    12232.872
 68  TN+F+G4       5845.718     71  11833.436    11839.674    12220.019
 69  TN+F+I+G4     5829.904     72  11803.807    11810.225    12195.835
 70  TN+F+R2       5829.076     72  11802.152    11808.569    12194.179
 71  TN+F+R3       5828.816     74  11805.632    11812.417    12208.550
 79  K3P           6215.142     67  12564.283    12569.829    12929.087
 80  K3P+I         5904.881     68  11945.761    11951.476    12316.010
 81  K3P+G4        5901.066     68  11938.133    11943.848    12308.381
 82  K3P+I+G4      5885.136     69  11908.272    11914.159    12283.965
 83  K3P+R2        5883.504     69  11905.008    11910.894    12280.701
 84  K3P+R3        5883.336     71  11908.672    11914.910    12295.255
 92  K3Pu+F        6180.712     70  12501.424    12507.485    12882.562
 93  K3Pu+F+I      5857.561     71  11857.121    11863.359    12243.704
 94  K3Pu+F+G4     5854.035     71  11850.070    11856.308    12236.654
 95  K3Pu+F+I+G4   5838.155     72  11820.311    11826.728    12212.339
 96  K3Pu+F+R2     5837.714     72  11819.428    11825.845    12211.456
 97  K3Pu+F+R3     5837.551     74  11823.101    11829.886    12226.019
105  TPM2+F        6165.525     70  12471.051    12477.112    12852.189
106  TPM2+F+I      5848.832     71  11839.663    11845.901    12226.246
