# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Feb 08 19:24:53 GMT 2023 [seed=1675884292347]
# YFV.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Americas)	age(Americas)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1.alpha	CP2.alpha	CP3.alpha	CP1.nu	CP2.nu	CP3.nu	CP1.mu	CP2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-17818.143610202776	-203.07638417372502	-17615.067226029052	71.34741681090148	1937.6525831890986	126.7115748603592	57.79738143027614	1951.2026185697239	1.0	2.0	2.0	2.0	0.2500000002	0.2500000001	0.2499999999	0.24999999979999998	0.5	0.5	0.5	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.9993668882557771	1.000316856780735	1.000316856780735	1.0	1.0	-17615.067226029052	0.0	-74.18166917989151
100	-17031.107584563553	-199.16755628891184	-16831.940028274643	69.52510202434112	1939.474897975659	123.18934767937617	57.79738143027614	1951.2026185697239	1.0	2.0	2.185482056084261	2.0	0.2500000002	0.2500000001	0.2499999999	0.24999999979999998	0.5	0.4840039535697332	0.5	0.32843648023249616	0.3316359879691252	0.3399275317983786	0.9846856297188893	0.995223207241947	1.0201057204253625	1.0	1.0	-16831.940028274643	0.0	-73.739176155027
200	-15834.072587909863	-218.90841137884294	-15615.16417653102	69.49114793289293	1939.508852067107	130.2711118484323	57.79738143027614	1951.2026185697239	1.1121436758198953	2.0	2.185482056084261	2.145111838743078	0.2500000002	0.25935842533024206	0.24064157466975794	0.24999999979999998	0.4127600366495669	0.4840039535697332	0.49361985756924215	0.32496864567691025	0.33058224681851	0.3444491075045797	0.974288712632484	0.9920609821350154	1.0336747456197322	1.0	1.0	-15615.16417653102	0.0	-86.44930672354769
300	-15056.89420099043	-226.00610658393356	-14830.888094406497	69.53856161770622	1939.4614383822939	132.91583795291598	57.79738143027614	1951.2026185697239	1.1121436758198953	2.0	2.696240699537625	2.7528573859220153	0.2500000002	0.25935842533024206	0.24064157466975794	0.24999999979999998	0.32468641364870804	0.4840039535697332	0.49361985756924215	0.32494036083220984	0.325887913339322	0.3491717258284681	0.9742039118207848	0.9779735194032696	1.0478470897723136	1.0	1.0	-14830.888094406497	0.0	-90.66210567639897
400	-14413.069624991438	-231.86544077867538	-14181.204184212762	69.54457382536145	1939.4554261746384	135.7095532134227	57.79738143027614	1951.2026185697239	1.362753283962616	2.659070628474364	2.696240699537625	2.7528573859220153	0.2500000002	0.25935842533024206	0.24064157466975794	0.24999999979999998	0.32468641364870804	0.4691468210705784	0.3310008273915633	0.33205344714785334	0.3187748270236785	0.3491717258284681	0.995529660632263	0.9566274989674458	1.0478470897723136	1.0	1.0	-14181.204184212762	0.0	-93.63500568512654
500	-13614.0548969054	-251.53664829737312	-13362.518248608027	69.40916872298433	1939.5908312770157	143.84828672186288	57.12282783729228	1951.8771721627077	1.5361853049784822	2.659070628474364	2.696240699537625	3.6150127759433524	0.24622726187555877	0.2693749143437246	0.24064157466975794	0.24375624911095867	0.2640868709622162	0.41076460673884235	0.3310008273915633	0.337033094871929	0.3187748270236785	0.34419207810439245	1.0104591457841214	0.9566274989674458	1.0329034130946455	1.0	1.0	-13362.518248608027	0.0	-105.01635492692166
600	-13138.52188940155	-258.4639284543471	-12880.057960947204	69.29780226565522	1939.7021977343447	146.25126661212127	57.12282783729228	1951.8771721627077	1.5361853049784822	3.082074878196511	2.696240699537625	7.395834100610474	0.24622726187555877	0.2693749143437246	0.24064157466975794	0.24375624911095867	0.2640868709622162	0.41076460673884235	0.33085850937010636	0.3409868306914744	0.3155743649178754	0.34343880439065017	1.022312843773015	0.9470230703856775	1.0306428759137667	1.0	1.0	-12880.057960947204	0.0	-108.38630464059081
700	-12704.404749987782	-273.32045126044466	-12431.084298727337	69.2815743571502	1939.7184256428498	153.45476112535184	57.12282783729228	1951.8771721627077	1.7206431788379153	3.082074878196511	2.696240699537625	8.688291506028474	0.24622726187555877	0.2693749143437246	0.24064157466975794	0.24375624911095867	0.2640868709622162	0.3358461050827359	0.33085850937010636	0.3475138042496877	0.3155743649178754	0.33691183083243686	1.041881367536813	0.9470230703856775	1.011055750891638	1.0	1.0	-12431.084298727337	0.0	-115.82728104821233
800	-12517.81901525126	-276.78176799154863	-12241.037247259712	69.12235353298877	1939.8776464670113	154.35993577591185	57.12282783729228	1951.8771721627077	2.159123300232325	3.082074878196511	2.696240699537625	8.688291506028474	0.24622726187555877	0.2693749143437246	0.24064157466975794	0.24375624911095867	0.2640868709622162	0.3358461050827359	0.33085850937010636	0.3558544050170017	0.30723376415056136	0.33691183083243686	1.066887328241856	0.9219933397560097	1.011055750891638	1.0	1.0	-12241.037247259712	0.0	-118.15935968748944
900	-12324.636389490866	-282.7560249894678	-12041.880364501398	69.15163064689911	1939.848369353101	156.32334845560837	57.12282783729228	1951.8771721627077	2.4096987193185644	3.082074878196511	3.379514163068307	12.309397370204646	0.24622726187555877	0.2693749143437246	0.24064157466975794	0.24375624911095867	0.2640868709622162	0.33150526667733365	0.33085850937010636	0.3558544050170017	0.30723376415056136	0.33691183083243686	1.066887328241856	0.9219933397560097	1.011055750891638	1.0	1.0	-12041.880364501398	0.0	-121.18807433999073
1000	-12242.13631177992	-288.5537092567782	-11953.582602523142	69.14624988123914	1939.853750118761	159.44587525517852	57.04204177708717	1951.9579582229128	2.4096987193185644	3.082074878196511	3.379514163068307	12.309397370204646	0.24622726187555877	0.2687622677743449	0.24064157466975794	0.24436889568033837	0.2640868709622162	0.33150526667733365	0.33085850937010636	0.35509709620015384	0.30799107296740924	0.33691183083243686	1.0646168401746303	0.9242659860818546	1.011055750891638	1.0	1.0	-11953.582602523142	0.0	-123.87312076571014
1100	-12046.75102177011	-293.0030125058695	-11753.74800926424	69.10944075098442	1939.8905592490155	161.60468845192747	57.04204177708717	1951.9579582229128	2.4096987193185644	3.082074878196511	4.334735476587629	15.3738913703089	0.24622726187555877	0.2687622677743449	0.24064157466975794	0.24436889568033837	0.2681791276784426	0.3067915818788777	0.33085850937010636	0.34507799398181677	0.3180101751857463	0.33691183083243686	1.034578563153462	0.9543328165982901	1.011055750891638	1.0	1.0	-11753.74800926424	0.0	-125.45512041895142
