Sample ID,Donating Institution,Extraction Date,Library Preparation Date,Secondary Library Preparation Date,Tertiary Library Preparation Date
1004284,Illinois Natural History Survey,11/17/21,11/23/21,-,-
Albany1902_1 (now Albany_1908),New York State Museum,10/8/21,11/10/21,-,-
1004277,Illinois Natural History Survey,11/17/21,11/23/21,4/20/22,7/11/22
1004279,Illinois Natural History Survey,11/17/21,11/23/21,4/20/22,7/11/22
1004280,Illinois Natural History Survey,11/17/21,11/23/21,-,-
1004281,Illinois Natural History Survey,11/17/21,11/23/21,4/20/22,7/11/22
1004282,Illinois Natural History Survey,11/17/21,11/23/21,-,-
StPaul1919_1,"University of Minnesota, Insect Collection",7/9/21,11/15/21,-,-
StPaul1919_2,"University of Minnesota, Insect Collection",10/8/21,11/15/21,-,-
StPaul1919_3,"University of Minnesota, Insect Collection",10/8/21,11/10/21,-,7/11/22
Albany1927_1,New York State Museum,10/8/21,11/15/21,4/20/22,7/11/22
1004283,Illinois Natural History Survey,11/17/21,11/23/21,-,-
1004278,Illinois Natural History Survey,11/17/21,11/23/21,4/20/22,7/11/22
Oahu1950_1_mel,University of Hawaii Insect Museum,10/4/21,11/23/21,-,-
Oahu1950_2_mel,University of Hawaii Insect Museum,10/4/21,11/23/21,-,-
Honolulu1951_1_mel,University of Hawaii Insect Museum,10/4/21,11/23/21,-,-
Oahu1951_1_mel,University of Hawaii Insect Museum,10/4/21,11/23/21,-,-
Kauai1952_1_mel,University of Hawaii Insect Museum,10/4/21,11/23/21,-,-
Kauai1954_1_mel (now Kauai1953_1_mel),University of Hawaii Insect Museum,10/4/21,11/23/21,4/20/22,7/11/22
Frost_03071963,Frost Entomology Center- PSUC,10/17/21,11/15/21,-,-
Frost_03211963_1,Frost Entomology Center- PSUC,10/17/21,11/10/21,4/20/22,7/11/22
Frost_03211963_2,Frost Entomology Center- PSUC,10/17/21,11/15/21,-,-
Frost_03271963,Frost Entomology Center- PSUC,10/17/21,11/15/21,-,-
StCloud1968_1,"University of Minnesota, Insect Collection",10/8/21,11/15/21,-,-
StCloud1969_1,"University of Minnesota, Insect Collection",10/8/21,11/15/21,-,-
StCloud1991_1,"University of Minnesota, Insect Collection",10/8/21,11/15/21,-,-
Frost_4908,Frost Entomology Center- PSUC,10/17/21,11/15/21,-,-
Frost_4887,Frost Entomology Center- PSUC,10/17/21,11/15/21,-,-
Frost_5867,Frost Entomology Center- PSUC,10/17/21,11/15/21,-,-
Frost_5873,Frost Entomology Center- PSUC,10/17/21,11/15/21,-,-
Frost_5863,Frost Entomology Center- PSUC,10/17/21,11/15/21,-,-
Davison2006_1,The Davidson College Entomology Collection,10/8/21,11/15/21,-,-
Davison2006_2,The Davidson College Entomology Collection,10/8/21,11/15/21,-,-
Davison2006_3,The Davidson College Entomology Collection,10/8/21,11/15/21,-,-
PHDIP1072-11," University of Guelph, The Centre for Biodiversity Genomics",8/27/21,11/15/21,4/20/22,7/11/22
PHDIP946-11," University of Guelph, The Centre for Biodiversity Genomics",8/27/21,11/15/21,4/20/22,7/11/22
Kauai1952_1_sim,University of Hawaii Insect Museum,10/4/21,11/23/21,-,-
Kauai1952_2_sim,University of Hawaii Insect Museum,10/4/21,11/23/21,-,-
Kilauea1953_1_sim,University of Hawaii Insect Museum,10/4/21,11/23/21,4/20/22,7/11/22
Maui1958_1_sim,University of Hawaii Insect Museum,10/4/21,11/23/21,-,-
Oahu1960_1_sim,University of Hawaii Insect Museum,10/4/21,11/23/21,-,-
Oahu1965_1_sim,University of Hawaii Insect Museum,10/4/21,11/23/21,-,-
SB_2000_1_sim,Santa Barbara Museum of Natural History,10/17/21,11/15/21,4/20/22,7/11/22
SB_2000_mel (now SB_2000_sim_2),Santa Barbara Museum of Natural History,10/17/21,11/15/21,4/20/22,7/11/22
BBDIV1549-12," University of Guelph, The Centre for Biodiversity Genomics",8/27/21,11/15/21,-,-
BBDIV1550-12," University of Guelph, The Centre for Biodiversity Genomics",8/27/21,11/15/21,-,7/11/22
