sample_name,week,rep,storage,organism,concentration
4WkDry_F_1,4,1,dry,fly,6.12
4WkDry_F_2,4,2,dry,fly,6.58
4WkDry_F_3,4,3,dry,fly,8.18
8WkDry_F_1,8,1,dry,fly,20.6
8WkDry_F_2,8,2,dry,fly,14
8WkDry_F_3,8,3,dry,fly,28.2
12WkDry_F_1,12,1,dry,fly,8.28
12WkDry_F_2,12,2,dry,fly,6.12
12WkDry_F_3,12,3,dry,fly,21.4
16WkDry_F_1,16,1,dry,fly,41.8
16WkDry_F_2,16,2,dry,fly,27.4
16WkDry_F_3,16,3,dry,fly,32.4
20WkDry_F_1,20,1,dry,fly,5.12
20WkDry_F_2,20,2,dry,fly,8.16
20WkDry_F_3,20,3,dry,fly,8.02
24WkDry_F_1,24,1,dry,fly,18.1
24WkDry_F_2,24,2,dry,fly,19
24WkDry_F_3,24,3,dry,fly,18.9
36WkDry_F_1,36,1,dry,fly,4.8
36WkDry_F_2,36,2,dry,fly,8.8
36WkDry_F_3,36,3,dry,fly,8.38
48WkDry_F_1,48,1,dry,fly,5.42
48WkDry_F_2,48,2,dry,fly,21.2
48WkDry_F_3,48,3,dry,fly,29.2
60WkDry_F_1,60,1,dry,fly,5.26
60WkDry_F_2,60,2,dry,fly,6.18
60WkDry_F_3,60,3,dry,fly,6
72WkDry_F_1,72,1,dry,fly,0
72WkDry_F_2,72,2,dry,fly,0
72WkDry_F_3,72,3,dry,fly,4.6
4WkFrozen_F_1,4,1,frozen,fly,8.8
4WkFrozen_F_2,4,2,frozen,fly,0
4WkFrozen_F_3,4,3,frozen,fly,0
8WkFrozen_F_1,8,1,frozen,fly,4.4
8WkFrozen_F_2,8,2,frozen,fly,13.3
8WkFrozen_F_3,8,3,frozen,fly,5.34
12WkFrozen_F_1,12,1,frozen,fly,32.4
12WkFrozen_F_2,12,2,frozen,fly,21.6
12WkFrozen_F_3,12,3,frozen,fly,17
16WkFrozen_F_1,16,1,frozen,fly,18.9
16WkFrozen_F_2,16,2,frozen,fly,67
16WkFrozen_F_3,16,3,frozen,fly,45.2
20WkFrozen_F_1,20,1,frozen,fly,11.4
20WkFrozen_F_2,20,2,frozen,fly,7.32
20WkFrozen_F_3,20,3,frozen,fly,20.4
24WkFrozen_F_1,24,1,frozen,fly,18.4
24WkFrozen_F_2,24,2,frozen,fly,39
24WkFrozen_F_3,24,3,frozen,fly,29.6
36WkFrozen_F_1,36,1,frozen,fly,11
36WkFrozen_F_2,36,2,frozen,fly,5.62
36WkFrozen_F_3,36,3,frozen,fly,14.4
48WkFrozen_F_1,48,1,frozen,fly,12.6
48WkFrozen_F_2,48,2,frozen,fly,10.4
48WkFrozen_F_3,48,3,frozen,fly,20.6
60WkFrozen_F_1,60,1,frozen,fly,7.78
60WkFrozen_F_2,60,2,frozen,fly,7.96
60WkFrozen_F_3,60,3,frozen,fly,5.32
72WkFrozen_F_1,72,1,frozen,fly,5.56
72WkFrozen_F_2,72,2,frozen,fly,13.7
72WkFrozen_F_3,72,3,frozen,fly,10
4WkDry_F_1,4,1,dry,mosquito,0
4WkDry_F_2,4,2,dry,mosquito,0
4WkDry_F_3,4,3,dry,mosquito,0
8WkDry_F_1,8,1,dry,mosquito,25.6
8WkDry_F_2,8,2,dry,mosquito,10
8WkDry_F_3,8,3,dry,mosquito,21.4
12WkDry_F_1,12,1,dry,mosquito,37.6
12WkDry_F_2,12,2,dry,mosquito,19.2
12WkDry_F_3,12,3,dry,mosquito,19.9
16WkDry_F_1,16,1,dry,mosquito,19.4
16WkDry_F_2,16,2,dry,mosquito,10.4
16WkDry_F_3,16,3,dry,mosquito,29.6
20WkDry_F_1,20,1,dry,mosquito,0
20WkDry_F_2,20,2,dry,mosquito,0
20WkDry_F_3,20,3,dry,mosquito,0
24WkDry_F_1,24,1,dry,mosquito,0
24WkDry_F_2,24,2,dry,mosquito,23.2
24WkDry_F_3,24,3,dry,mosquito,4.2
28WkDry_F_1,28,1,dry,mosquito,0
28WkDry_F_2,28,2,dry,mosquito,0
28WkDry_F_3,28,3,dry,mosquito,0
32WkDry_F_1,32,1,dry,mosquito,0
32WkDry_F_2,32,2,dry,mosquito,0
32WkDry_F_3,32,3,dry,mosquito,0
36WkDry_F_1,36,1,dry,mosquito,15.5
36WkDry_F_2,36,2,dry,mosquito,13.3
36WkDry_F_3,36,3,dry,mosquito,9.18
40WkDry_F_1,40,1,dry,mosquito,5.72
40WkDry_F_2,40,2,dry,mosquito,11.8
40WkDry_F_3,40,3,dry,mosquito,7.4
44WkDry_F_1,44,1,dry,mosquito,12.6
44WkDry_F_2,44,2,dry,mosquito,13.9
44WkDry_F_3,44,3,dry,mosquito,22.8
48WkDry_F_1,48,1,dry,mosquito,4.8
48WkDry_F_2,48,2,dry,mosquito,16.7
48WkDry_F_3,48,3,dry,mosquito,32.6
52WkDry_F_1,52,1,dry,mosquito,0
