species,date_collected,weeks_dried,location,donating_institution,storage_type,extraction_method,RNA_concentration,260_280,260_230,galbut_virus_positive_qPCR,sample_id,sample_id_in_paper,sample_type,R1_strand
melanogaster,2022,4,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,4WkDry_F_1,,Experimental_dried,reverse
melanogaster,2022,4,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,4WkDry_F_2,,Experimental_dried,reverse
melanogaster,2022,4,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,4WkDry_F_3,,Experimental_dried,reverse
melanogaster,2022,8,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,8WkDry_F_1,,Experimental_dried,reverse
melanogaster,2022,8,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,8WkDry_F_2,,Experimental_dried,reverse
melanogaster,2022,8,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,8WkDry_F_3,,Experimental_dried,reverse
melanogaster,2022,12,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,12WkDry_F_1,,Experimental_dried,reverse
melanogaster,2022,12,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,12WkDry_F_2,,Experimental_dried,reverse
melanogaster,2022,12,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,12WkDry_F_3,,Experimental_dried,reverse
melanogaster,2022,16,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,16WkDry_F_1,,Experimental_dried,reverse
melanogaster,2022,16,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,16WkDry_F_2,,Experimental_dried,reverse
melanogaster,2022,16,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,16WkDry_F_3,,Experimental_dried,reverse
melanogaster,2022,20,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,20WkDry_F_1,,Experimental_dried,reverse
melanogaster,2022,20,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,20WkDry_F_2,,Experimental_dried,reverse
melanogaster,2022,20,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,20WkDry_F_3,,Experimental_dried,reverse
melanogaster,2022,24,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,24WkDry_F_1,,Experimental_dried,reverse
melanogaster,2022,24,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,24WkDry_F_2,,Experimental_dried,reverse
melanogaster,2022,24,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,24WkDry_F_3,,Experimental_dried,reverse
melanogaster,2022,36,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,36WkDry_F_1,,Experimental_dried,reverse
melanogaster,2022,36,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,36WkDry_F_2,,Experimental_dried,reverse
melanogaster,2022,36,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,36WkDry_F_3,,Experimental_dried,reverse
melanogaster,2022,48,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,48WkDry_F_1,,Experimental_dried,reverse
melanogaster,2022,48,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,48WkDry_F_2,,Experimental_dried,reverse
melanogaster,2022,48,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,48WkDry_F_3,,Experimental_dried,reverse
melanogaster,2022,60,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,60WkDry_F_1,,Experimental_dried,reverse
melanogaster,2022,60,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,60WkDry_F_2,,Experimental_dried,reverse
melanogaster,2022,60,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,60WkDry_F_3,,Experimental_dried,reverse
melanogaster,2022,72,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,72WkDry_F_1,,Experimental_dried,reverse
melanogaster,2022,72,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,72WkDry_F_2,,Experimental_dried,reverse
melanogaster,2022,72,"Fort Collins, CO",Colorado State University,Dried,NA,,,,,72WkDry_F_3,,Experimental_dried,reverse
