id,mean_length,tape_id,sample.index,group,weeks,year,sample_name
f110,188.17905403887673,f1,10,Dry,60,2022,60WkDry_F_1
f12,644.7627211752504,f1,2,Dry,4,2022,4WkDry_F_1
f13,770.2903897351108,f1,3,Dry,8,2022,8WkDry_F_1
f14,571.1641267128755,f1,4,Dry,12,2022,12WkDry_F_1
f15,400.05142828499606,f1,5,Dry,16,2022,16WkDry_F_1
f16,197.5272500937689,f1,6,Dry,20,2022,20WkDry_F_1
f17,171.06085845591144,f1,7,Dry,24,2022,24WkDry_F_1
f22,175.29199136903665,f2,2,Dry,36,2022,36WkDry_F_1
f23,213.21324071951017,f2,3,Dry,48,2022,48WkDry_F_1
f32,326.3742316047436,f3,2,Dry,72,2022,72WkDry_F_1
f410,82.86836292313014,f4,10,Frozen,60,2022,60WkFrozen_F_1
f42,309.7651582115662,f4,2,Frozen,4,2022,4WkFrozen_F_1
f43,345.05878591575913,f4,3,Frozen,8,2022,8WkFrozen_F_1
f44,897.6636075874462,f4,4,Frozen,12,2022,12WkFrozen_F_1
f45,254.92453867305716,f4,5,Frozen,16,2022,16WkFrozen_F_1
f46,507.7105215862498,f4,6,Frozen,20,2022,20WkFrozen_F_1
f47,208.60287464679655,f4,7,Frozen,24,2022,24WkFrozen_F_1
f48,174.23656618971214,f4,8,Frozen,36,2022,36WkFrozen_F_1
f49,145.2323555382708,f4,9,Frozen,48,2022,48WkFrozen_F_1
f53,35.72259590916321,f5,3,Frozen,72,2022,72WkFrozen_F_1
f610,214.5078100564642,f6,10,Dry,20,2022,20WkDry_F_2
f611,224.12730591827932,f6,11,Dry,20,2022,20WkDry_F_3
f612,159.97382850214925,f6,12,Dry,24,2022,24WkDry_F_2
f614,170.58363127357234,f6,14,Dry,36,2022,36WkDry_F_2
f616,256.7062770725278,f6,16,Dry,48,2022,48WkDry_F_2
f617,430.1123258091419,f6,17,Dry,48,2022,48WkDry_F_3
f62,441.5439600266165,f6,2,Dry,4,2022,4WkDry_F_2
f63,376.71871162800255,f6,3,Dry,4,2022,4WkDry_F_3
f64,790.194426755815,f6,4,Dry,8,2022,8WkDry_F_2
f65,641.6761005849216,f6,5,Dry,8,2022,8WkDry_F_3
f66,607.8256326294576,f6,6,Dry,12,2022,12WkDry_F_2
f67,421.6272428979973,f6,7,Dry,12,2022,12WkDry_F_3
f68,524.8268246516277,f6,8,Dry,16,2022,16WkDry_F_2
f69,348.09222893004096,f6,9,Dry,16,2022,16WkDry_F_3
f710,322.5900606983415,f7,10,Frozen,20,2022,20WkFrozen_F_2
f711,277.5473154421414,f7,11,Frozen,20,2022,20WkFrozen_F_3
f712,221.21471529352678,f7,12,Frozen,24,2022,24WkFrozen_F_2
f714,107.49903131920405,f7,14,Frozen,36,2022,36WkFrozen_F_2
f716,336.71245025863783,f7,16,Frozen,48,2022,48WkFrozen_F_2
f717,262.2320448834072,f7,17,Frozen,48,2022,48WkFrozen_F_3
f72,279.54023421659144,f7,2,Frozen,4,2022,4WkFrozen_F_2
f73,290.18334934793535,f7,3,Frozen,4,2022,4WkFrozen_F_3
f74,755.2351987779143,f7,4,Frozen,8,2022,8WkFrozen_F_2
f75,307.802223558158,f7,5,Frozen,8,2022,8WkFrozen_F_3
f76,939.0196666958175,f7,6,Frozen,12,2022,12WkFrozen_F_2
f77,950.6652786064095,f7,7,Frozen,12,2022,12WkFrozen_F_3
f78,459.09842247378174,f7,8,Frozen,16,2022,16WkFrozen_F_2
f79,418.35746885185955,f7,9,Frozen,16,2022,16WkFrozen_F_3
f810,193.69257833815442,f8,10,Frozen,24,2022,24WkFrozen_F_3
f811,206.9314997227431,f8,11,Frozen,36,2022,36WkFrozen_F_3
f82,245.44372959668718,f8,2,Dry,60,2022,60WkDry_F_2
f83,225.59711395198048,f8,3,Dry,60,2022,60WkDry_F_3
f84,190.404658463574,f8,4,Dry,72,2022,72WkDry_F_2
f85,596.7579624261857,f8,5,Dry,72,2022,72WkDry_F_3
f86,186.14675244682786,f8,6,Frozen,60,2022,60WkFrozen_F_2
f87,377.1226160362011,f8,7,Frozen,60,2022,60WkFrozen_F_3
f88,287.77675762010347,f8,8,Frozen,72,2022,72WkFrozen_F_2
f89,270.1266066182262,f8,9,Frozen,72,2022,72WkFrozen_F_3
fresh3,995.439400847381,fresh,3,Fresh,0,2022,NA
oc10,278.04384349930626,oc,10,old,NA,2003,Frost_5873
oc11,170.05571529118077,oc,11,old,NA,1963,Frost_03211963_2
oc12,184.21203699850616,oc,12,old,NA,2000,SB_2000_mel_1
oc13,66.51007835755696,oc,13,old,NA,2011,BBDIV1549-12
oc14,73.59447605706646,oc,14,old,NA,1908,1004277
oc15,55.569560182242455,oc,15,old,NA,1942,1004278
oc16,62.07260081922727,oc,16,old,NA,1915,1004279
oc17,44.91847049922151,oc,17,old,NA,1896,1004284
oc2,39.057545459446644,oc,2,old,NA,1954,Kauai1954_1_mel
oc3,35.72259590916321,oc,3,old,NA,1953,Kilauea1953_1_sim
oc4,84.06652097243104,oc,4,old,NA,1919,StPaul1919_2
oc5,87.52388759127707,oc,5,old,NA,1969,StCloud1969_1
oc6,130.25304413060303,oc,6,old,NA,1991,StCloud1991_1
oc7,83.8987709827526,oc,7,old,NA,1902,Albany1902_1
oc8,63.2306960321376,oc,8,old,NA,1927,Albany1927_1
oc9,195.4667556167894,oc,9,old,NA,2006,Davidson2006_2
