name,date,location,species,
D_mel_Australia_2008_MH384336,2008,Australia,melanogaster,
D_mel_Australia_2008_MH384354,2008,Australia,melanogaster,
D_mel_Australia_2008_MH384361,2008,Australia,melanogaster,
D_mel_Australia_2008_MH384365,2008,Australia,melanogaster,
D_mel_Australia_2008_MH384373,2008,Australia,melanogaster,
D_mel_Australia_2008_MH384379,2008,Australia,melanogaster,
D_mel_Brazil_2019_fly12,2019,Brazil,melanogaster,
D_mel_Brazil_2019_fly4,2019,Brazil,melanogaster,
D_mel_Brazil_2019_fly5,2019,Brazil,melanogaster,
D_mel_Brazil_2019_fly6_rep1,2019,Brazil,melanogaster,
D_mel_Brazil_2019_fly6_rep2,2019,Brazil,melanogaster,
D_mel_Colorado_USA_2016_rep1,2016,USA,melanogaster,
D_mel_Colorado_USA_2016_rep2,2016,USA,melanogaster,
D_mel_Colorado_USA_2017,2017,USA,melanogaster,
D_mel_Colorado_USA_2018_rep1,2018,USA,melanogaster,
D_mel_Colorado_USA_2018_rep2,2018,USA,melanogaster,
D_mel_Colorado_USA_2019_compost_rep1,2019,USA,melanogaster,
D_mel_Colorado_USA_2019_compost_rep2,2019,USA,melanogaster,
D_mel_Colorado_USA_2019_kitchen,2019,USA,melanogaster,
D_mel_Colorado_USA_2020_AG_1_RNA_2,2020,USA,melanogaster,
D_mel_Colorado_USA_2020_TD_1_RNA_2,2020,USA,melanogaster,
D_mel_Colorado_USA_2020_TD_2_RNA_2,2020,USA,melanogaster,
D_mel_Colorado_USA_2020_TD_5_RNA_2,2020,USA,melanogaster,
D_mel_Colorado_USA_2020_TD_6_RNA_2,2020,USA,melanogaster,
D_mel_Colorado_USA_2021_LK_1_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_LK_2_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_LK_3_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_LK_4_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_LK_5_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_LK_6_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_10_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_11_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_12_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_13_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_14_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_15_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_16_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_17_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_18_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_19_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_1_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_20_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_21_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_2_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_3_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_4_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_5_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_6_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_7_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_8_RNA_2,2021,USA,melanogaster,
D_mel_Colorado_USA_2021_MDS_C2_9_RNA_2,2021,USA,melanogaster,
D_mel_Haiti_2018_fly_F13_,2018,Haiti,melanogaster,
D_mel_Haiti_2018_fly_F5,2018,Haiti,melanogaster,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
