name,date,location,species
D_mel_Australia_2008_MH384337,2008,Australia,melanogaster
D_mel_Australia_2008_MH384355,2008,Australia,melanogaster
D_mel_Australia_2008_MH384362,2008,Australia,melanogaster
D_mel_Australia_2008_MH384366,2008,Australia,melanogaster
D_mel_Australia_2008_MH384374,2008,Australia,melanogaster
D_mel_Australia_2008_MH384380,2008,Australia,melanogaster
D_mel_Brazil_2019_fly12_,2019,Brazil,melanogaster
D_mel_Brazil_2019_fly4,2019,Brazil,melanogaster
D_mel_Brazil_2019_fly5,2019,Brazil,melanogaster
D_mel_Brazil_2019_fly6,2019,Brazil,melanogaster
D_mel_Brazil_2019_fly6_,2019,Brazil,melanogaster
D_mel_Colorado_USA_2016,2016,USA,melanogaster
D_mel_Colorado_USA_2017,2017,USA,melanogaster
D_mel_Colorado_USA_2018_rep1,2018,USA,melanogaster
D_mel_Colorado_USA_2018_rep2,2018,USA,melanogaster
D_mel_Colorado_USA_2019_compost1,2019,USA,melanogaster
D_mel_Colorado_USA_2019_compost2,2019,USA,melanogaster
D_mel_Colorado_USA_2019_compost3,2019,USA,melanogaster
D_mel_Colorado_USA_2019_kitchen,2019,USA,melanogaster
D_mel_Colorado_USA_2019_kitchen_compost,2019,USA,melanogaster
D_mel_Colorado_USA_2020_AG_1_RNA3,2020,USA,melanogaster
D_mel_Colorado_USA_2020_TD_1_RNA3,2020,USA,melanogaster
D_mel_Colorado_USA_2020_TD_2_RNA3,2020,USA,melanogaster
D_mel_Colorado_USA_2020_TD_5_RNA3,2020,USA,melanogaster
D_mel_Colorado_USA_2020_TD_6_RNA3,2020,USA,melanogaster
D_mel_Colorado_USA_2021_LK_2_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_LK_6_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_10_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_11_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_12_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_13_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_14_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_15_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_16_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_17_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_18_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_19_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_1_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_20_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_21_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_2_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_3_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_4_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_5_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_6_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_7_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_8_RNA3,2021,USA,melanogaster
D_mel_Colorado_USA_2021_MDS_C2_9_RNA3,2021,USA,melanogaster
D_mel_Haiti_2018_fly_F13,2018,Haiti,melanogaster
D_mel_Haiti_2018_fly_F5,2018,Haiti,melanogaster
