name,date,location,species,accession
D_mel_Australia_2008_MH384337,2008,Australia,melanogaster,MH384337
D_mel_Australia_2008_MH384355,2008,Australia,melanogaster,MH384355
D_mel_Australia_2008_MH384362,2008,Australia,melanogaster,MH384362
D_mel_Australia_2008_MH384366,2008,Australia,melanogaster,MH384366
D_mel_Australia_2008_MH384374,2008,Australia,melanogaster,MH384374
D_mel_Australia_2008_MH384380,2008,Australia,melanogaster,MH384380
D_mel_Brazil_2019_fly12_,2019,Brazil,melanogaster,D_mel_Brazil_2019_fly12
D_mel_Brazil_2019_fly4,2019,Brazil,melanogaster,D_mel_Brazil_2019_fly4
D_mel_Brazil_2019_fly5,2019,Brazil,melanogaster,D_mel_Brazil_2019_fly5
D_mel_Brazil_2019_fly6,2019,Brazil,melanogaster,D_mel_Brazil_2019_fly6
D_mel_Brazil_2019_fly6_,2019,Brazil,melanogaster,D_mel_Brazil_2019_fly6_
D_mel_Canada_Ontario_2010_PHDIP946_RNA3,2010,Canada,melanogaster,D_mel_Canada_Ontario_2010
D_mel_Colorado_USA_2016,2016,USA,melanogaster,D_mel_Colorado_USA_2016
D_mel_Colorado_USA_2017,2917,USA,melanogaster,D_mel_Colorado_USA_2017
D_mel_Colorado_USA_2018_rep1,2018,USA,melanogaster,D_mel_Colorado_USA_2018_rep1
D_mel_Colorado_USA_2018_rep2,2018,USA,melanogaster,D_mel_Colorado_USA_2018_rep2
D_mel_Colorado_USA_2019_compost1,2019,USA,melanogaster,D_mel_Colorado_USA_2019_compost1
D_mel_Colorado_USA_2019_compost2,2019,USA,melanogaster,D_mel_Colorado_USA_2019_compost2
D_mel_Colorado_USA_2019_compost3,2019,USA,melanogaster,D_mel_Colorado_USA_2019_compost3
D_mel_Colorado_USA_2019_kitchen,2019,USA,melanogaster,D_mel_Colorado_USA_2019_kitchen
D_mel_Colorado_USA_2019_kitchen_compost,2019,USA,melanogaster,D_mel_Colorado_USA_2019_kitchen_compost
D_mel_Colorado_USA_2020_AG_1_RNA3,2020,USA,melanogaster,D_mel_Colorado_USA_2020_AG_1
D_mel_Colorado_USA_2020_TD_1_RNA3,2020,USA,melanogaster,D_mel_Colorado_USA_2020_TD_1
D_mel_Colorado_USA_2020_TD_2_RNA3,2020,USA,melanogaster,D_mel_Colorado_USA_2020_TD_2
D_mel_Colorado_USA_2020_TD_5_RNA3,2020,USA,melanogaster,D_mel_Colorado_USA_2020_TD_5
D_mel_Colorado_USA_2020_TD_6_RNA3,2020,USA,melanogaster,D_mel_Colorado_USA_2020_TD_6
D_mel_Colorado_USA_2021_LK_2_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_LK_2
D_mel_Colorado_USA_2021_LK_6_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_LK_6
D_mel_Colorado_USA_2021_MDS_C2_10_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_10
D_mel_Colorado_USA_2021_MDS_C2_11_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_11
D_mel_Colorado_USA_2021_MDS_C2_12_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_12
D_mel_Colorado_USA_2021_MDS_C2_13_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_13
D_mel_Colorado_USA_2021_MDS_C2_14_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_14
D_mel_Colorado_USA_2021_MDS_C2_15_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_15
D_mel_Colorado_USA_2021_MDS_C2_16_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_16
D_mel_Colorado_USA_2021_MDS_C2_17_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_17
D_mel_Colorado_USA_2021_MDS_C2_18_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_18
D_mel_Colorado_USA_2021_MDS_C2_19_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_19
D_mel_Colorado_USA_2021_MDS_C2_1_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_1
D_mel_Colorado_USA_2021_MDS_C2_20_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_20
D_mel_Colorado_USA_2021_MDS_C2_21_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_21
D_mel_Colorado_USA_2021_MDS_C2_2_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_2
D_mel_Colorado_USA_2021_MDS_C2_3_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_3
D_mel_Colorado_USA_2021_MDS_C2_4_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_4
D_mel_Colorado_USA_2021_MDS_C2_5_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_5
