refseq,virus,segment,virus_type
OR820564,Tobacco_mosaic_virus,vRNA,plus_ssRNA
OR820566,Vera_virus,RNA_1,dsRNA
OR820565,Vera_virus,RNA_2,dsRNA
OR820578,Craigies_hill_virus,RNA_1,plus_ssRNA
OR820579,Craigies_hill_virus,RNA_2,plus_ssRNA
OR820575,Galbut_virus,RNA_1,dsRNA
OR820574,Galbut_virus,RNA_2,dsRNA
OR820576,Galbut_virus,RNA_3,dsRNA
OR820572,Dansoman_virus,RNA_1,plus_ssRNA
OR820573,Dansoman_virus,RNA_2,plus_ssRNA
OR820571,Galbut_virus,RNA_Chaq,dsRNA
OR820577,Vera_virus,RNA_Chaq,dsRNA
OR820582,Vera_virus,RNA_1,dsRNA
OR820581,Vera_virus,RNA_2,dsRNA
OR820580,D_mel_sigma_virus,vRNA,minus_ssRNA
OR820583,Drosophila_C_virus,vRNA,plus_ssRNA
OR820593,Vera_virus,RNA_1,dsRNA
OR820592,Vera_virus,RNA_2,dsRNA
OR820591,Vera_virus,RNA_Chaq,dsRNA
OR820596,Galbut_virus,RNA_1,dsRNA
OR820595,Galbut_virus,RNA_2,dsRNA
OR820597,Galbut_virus,RNA_3,dsRNA
OR820594,Galbut_virus,RNA_Chaq,dsRNA
OR820598,La_Jolla_virus,vRNA,plus_ssRNA
OR820600,Galbut_virus,RNA_1,dsRNA
OR820599,Galbut_virus,RNA_2,dsRNA
OR820601,Galbut_virus,RNA_3,dsRNA
OR820603,Sobemo-like_virus,RNA_1,plus_ssRNA
OR820602,Sobemo-like_virus,RNA_2,plus_ssRNA
FoCo17_MT742160.1,Galbut_virus,RNA_1,dsRNA
FoCo17_MT742161.1,Galbut_virus,RNA_2,dsRNA
FoCo17_MT742162.1,Galbut_virus,RNA_3,dsRNA
FoCo17_MT742163.1,Galbut_virus,RNA_Chaq,dsRNA
FoCo17_MT742168.1,Vera_virus,RNA_1,dsRNA
FoCo17_MT742169.1,Vera_virus,RNA_2,dsRNA
FoCo17_MT742170.1,Vera_virus,RNA_Chaq,dsRNA
FoCo17_Nora,Nora_virus,vRNA,plus_ssRNA
FoCo17_Drosophila_A_virus,Drosophila_A_virus,vRNA,plus_ssRNA
La_Jolla_virus_FoCo17,La_Jolla_virus,vRNA,plus_ssRNA
OR820584,Puslinch_virus,L,minus_ssRNA
OR820585,Puslinch_virus,M,minus_ssRNA
OR820586,Puslinch_virus,S,minus_ssRNA
OR820569,Galbut_virus,RNA_1,dsRNA
OR820568,Galbut_virus,RNA_2,dsRNA
OR820570,Galbut_virus,RNA_3,dsRNA
OR820567,Galbut_virus,RNA_Chaq,dsRNA
OR820561,Galbut_virus,RNA_2,dsRNA
OR820563,Galbut_virus,RNA_3,dsRNA
OR820562,Galbut_virus,RNA_1,dsRNA
OR820560,Vera_virus,RNA_Chaq,dsRNA
OR820588,Galbut_virus,RNA_1,dsRNA
OR820587,Galbut_virus,RNA_2,dsRNA
OR820589,Galbut_virus,RNA_3,dsRNA
OR820590,Nora_virus,vRNA,plus_ssRNA
