sampleID	referenceFasta	R1_strand
1004277	virus_refseq/1004277_virus_seqs.fasta	reverse
1004278	virus_refseq/1004278_virus_seqs.fasta	reverse
1004283	virus_refseq/1004283_virus_seqs.fasta	reverse
BBDIV1550-12	virus_refseq/BBDIV1550-12_virus_seqs.fasta	reverse
Davidson2006_1	virus_refseq/Davidson2006_1_virus_seqs.fasta	reverse
Frost_03071963	virus_refseq/Frost_03071963_virus_seqs.fasta	reverse
Frost_03211963_1	virus_refseq/Frost_03211963_virus_seqs.fasta	reverse
Frost_4908	virus_refseq/Frost_4908_virus_seqs.fasta	reverse
PHDIP1072-11	virus_refseq/PHDIP1072-11_virus_seqs.fasta	reverse
SB_2000_mel_1	virus_refseq/SB_2000_mel_1_virus_seqs.fasta	reverse
StPaul1919_3	virus_refseq/StPaul1919_3_virus_seqs.fasta	reverse
FoCo17_Pos	virus_refseq/FoCo17_viruses.fasta	reverse
PosCtrl_Pool1	virus_refseq/FoCo17_viruses.fasta	reverse
12WkDry_F_1	virus_refseq/FoCo17_viruses.fasta	reverse
12WkDry_F_2	virus_refseq/FoCo17_viruses.fasta	reverse
12WkDry_F_3	virus_refseq/FoCo17_viruses.fasta	reverse
16WkDry_F_1	virus_refseq/FoCo17_viruses.fasta	reverse
16WkDry_F_2	virus_refseq/FoCo17_viruses.fasta	reverse
16WkDry_F_3	virus_refseq/FoCo17_viruses.fasta	reverse
20WkDry_F_1	virus_refseq/FoCo17_viruses.fasta	reverse
20WkDry_F_2	virus_refseq/FoCo17_viruses.fasta	reverse
20WkDry_F_3	virus_refseq/FoCo17_viruses.fasta	reverse
24WkDry_F_1	virus_refseq/FoCo17_viruses.fasta	reverse
24WkDry_F_2	virus_refseq/FoCo17_viruses.fasta	reverse
24WkDry_F_3	virus_refseq/FoCo17_viruses.fasta	reverse
36WkDry_F_1	virus_refseq/FoCo17_viruses.fasta	reverse
36WkDry_F_2	virus_refseq/FoCo17_viruses.fasta	reverse
36WkDry_F_3	virus_refseq/FoCo17_viruses.fasta	reverse
48WkDry_F_1	virus_refseq/FoCo17_viruses.fasta	reverse
48WkDry_F_2	virus_refseq/FoCo17_viruses.fasta	reverse
48WkDry_F_3	virus_refseq/FoCo17_viruses.fasta	reverse
4WkDry_F_1	virus_refseq/FoCo17_viruses.fasta	reverse
4WkDry_F_2	virus_refseq/FoCo17_viruses.fasta	reverse
4WkDry_F_3	virus_refseq/FoCo17_viruses.fasta	reverse
60WkDry_F_1	virus_refseq/FoCo17_viruses.fasta	reverse
60WkDry_F_2	virus_refseq/FoCo17_viruses.fasta	reverse
60WkDry_F_3	virus_refseq/FoCo17_viruses.fasta	reverse
72WkDry_F_1	virus_refseq/FoCo17_viruses.fasta	reverse
72WkDry_F_2	virus_refseq/FoCo17_viruses.fasta	reverse
72WkDry_F_3	virus_refseq/FoCo17_viruses.fasta	reverse
8WkDry_F_1	virus_refseq/FoCo17_viruses.fasta	reverse
8WkDry_F_2	virus_refseq/FoCo17_viruses.fasta	reverse
8WkDry_F_3	virus_refseq/FoCo17_viruses.fasta	reverse
2Wk	virus_refseq/FoCo17_viruses.fasta	reverse
2Wk	virus_refseq/FoCo17_viruses.fasta	reverse
4Wk	virus_refseq/FoCo17_viruses.fasta	reverse
4Wk	virus_refseq/FoCo17_viruses.fasta	reverse
6Wk	virus_refseq/FoCo17_viruses.fasta	reverse
6Wk	virus_refseq/FoCo17_viruses.fasta	reverse
8Wk	virus_refseq/FoCo17_viruses.fasta	reverse
8Wk	virus_refseq/FoCo17_viruses.fasta	reverse
10Wk	virus_refseq/FoCo17_viruses.fasta	reverse
10Wk	virus_refseq/FoCo17_viruses.fasta	reverse
12Wk	virus_refseq/FoCo17_viruses.fasta	reverse
12Wk	virus_refseq/FoCo17_viruses.fasta	reverse
16Wk	virus_refseq/FoCo17_viruses.fasta	reverse
16Wk	virus_refseq/FoCo17_viruses.fasta	reverse
20Wk	virus_refseq/FoCo17_viruses.fasta	reverse
20Wk	virus_refseq/FoCo17_viruses.fasta	reverse
24Wk	virus_refseq/FoCo17_viruses.fasta	reverse
24Wk	virus_refseq/FoCo17_viruses.fasta	reverse
Water_NegCtrl	virus_refseq/all_viruses.fasta	reverse
NegCtrl_NewPrep	virus_refseq/all_viruses.fasta	reverse
cDNA_Neg	virus_refseq/all_viruses.fasta	reverse
