A1: Ladder,B1: PHDIP1072-11,C1: StPaul1919_1,D1: Oahu1950_1_mel,E1: Oahu1950_2_mel,F1: Honolulu1951_mel,G1: Kauai1954_mel,H1: Oahu1960_sim,A2: Kilaueau1953_sim,B2: Kauai_1952_sim,C2: Maui1958_sim,D2: Oahu1965_sim
1.206495,1.083747,0.8683,1.309675,0.7967222,0.7448511,0.6420565,1.298363,0.8250713,0.9293323,0.5873051,2.542413
1.155294,0.9690247,0.9495831,1.185948,0.8186862,0.7158742,0.6291375,1.298211,0.9452643,0.9994659,0.6639757,2.314747
1.228332,0.9697552,1.035337,1.054506,0.8011215,0.6889057,0.5965338,1.294577,0.9896636,1.009657,0.9494848,2.126926
1.315653,1.05503,1.098986,0.9062333,0.8516181,0.6652565,0.4662771,1.28374,1.036821,0.9920645,1.161592,1.887953
1.357376,1.129258,1.111839,0.8046279,0.810739,0.6225462,0.5363784,1.310388,1.043481,0.9550228,1.236231,1.842093
1.459498,1.113842,1.09281,0.7690358,0.819015,0.7138486,0.638845,1.332761,1.022083,0.9353366,1.274288,1.889291
1.493466,1.1988,1.045918,0.8709147,0.7376504,0.7300501,0.7100277,1.249079,0.9165285,0.8198307,1.169431,2.04596
1.37585,1.203019,1.138249,0.9644589,0.6461358,0.6800089,0.7758279,1.293465,0.8783107,0.9166794,1.198706,2.019363
1.228476,1.267455,1.084,1.041762,0.6067016,0.7118311,0.7171044,1.285169,0.8785324,0.9226646,1.09107,1.986394
1.093985,1.297628,1.14343,1.068616,0.5657229,0.8944607,0.7726703,1.166862,0.9841895,0.9510689,1.025659,1.82495
1.030108,1.309175,1.080115,1.041496,0.5815082,0.91924,0.8314657,1.140183,1.085841,1.028226,0.9839048,1.623708
0.9816256,1.304033,0.9736283,1.043491,0.6049104,0.8700714,0.8561182,1.13791,1.14728,1.19733,0.9103885,1.587072
1.01853,1.416935,0.9396818,1.122748,0.6699438,0.7524085,0.6791096,1.094749,1.2254,1.234807,1.07502,1.496153
1.019683,1.513331,0.8910189,1.195545,0.774276,0.7824216,0.581337,1.148469,1.28966,1.145398,1.031715,1.407507
0.9940498,1.630295,0.8442445,1.264033,0.9253645,0.7017183,0.5442924,1.308058,1.279324,1.07717,1.120675,1.508238
1.094237,1.555521,0.8579688,1.329829,0.9851255,0.7230864,0.5903754,1.405762,1.25179,1.027339,1.162354,1.528697
1.112657,1.505837,0.8432899,1.446436,0.942368,0.6789312,0.6439447,1.387641,1.134193,0.9597144,1.043491,1.512623
1.048489,1.312936,0.8690577,1.394022,0.8643098,0.6329508,0.6490746,1.487795,0.9265704,0.9310212,1.023127,1.430309
