FileName,Well,Sample Description,Size [bp],Calibrated Conc. [pg/µl],Assigned Conc. [pg/µl],Peak Molarity [pmol/l],% Integrated Area,Peak Comment,Observations
2021-12-01 - 09.52.28.HSD1000,A1,Ladder,25,414,,25500,,,Lower Marker
2021-12-01 - 09.52.28.HSD1000,A1,Ladder,50,249,,7670,10.42,,
2021-12-01 - 09.52.28.HSD1000,A1,Ladder,100,277,,4250,11.55,,
2021-12-01 - 09.52.28.HSD1000,A1,Ladder,200,291,,2240,12.14,,
2021-12-01 - 09.52.28.HSD1000,A1,Ladder,300,309,,1580,12.90,,
2021-12-01 - 09.52.28.HSD1000,A1,Ladder,400,321,,1230,13.39,,
2021-12-01 - 09.52.28.HSD1000,A1,Ladder,500,324,,996,13.53,,
2021-12-01 - 09.52.28.HSD1000,A1,Ladder,700,308,,676,12.85,,
2021-12-01 - 09.52.28.HSD1000,A1,Ladder,1000,316,,486,13.20,,
2021-12-01 - 09.52.28.HSD1000,A1,Ladder,1500,250,250,256,,,Upper Marker
2021-12-01 - 09.52.28.HSD1000,B1,PHDIP1072-11,25,426,,26200,,,Lower Marker
2021-12-01 - 09.52.28.HSD1000,B1,PHDIP1072-11,156,913,,9010,12.38,,
2021-12-01 - 09.52.28.HSD1000,B1,PHDIP1072-11,205,3620,,27200,49.02,,
2021-12-01 - 09.52.28.HSD1000,B1,PHDIP1072-11,264,2750,,16000,37.26,,
2021-12-01 - 09.52.28.HSD1000,B1,PHDIP1072-11,1500,250,250,256,,,Upper Marker
2021-12-01 - 09.52.28.HSD1000,B1,PHDIP1072-11,2925,98.8,,52.0,1.34,,Peak outside of Sizing Range
2021-12-01 - 09.52.28.HSD1000,C1,StPaul1919_1,25,467,,28700,,,Lower Marker
2021-12-01 - 09.52.28.HSD1000,C1,StPaul1919_1,154,2450,,24500,95.97,,
2021-12-01 - 09.52.28.HSD1000,C1,StPaul1919_1,307,103,,515,4.03,,
2021-12-01 - 09.52.28.HSD1000,C1,StPaul1919_1,1500,250,250,256,,,Upper Marker
2021-12-01 - 09.52.28.HSD1000,D1,Oahu1950_1_mel,25,510,,31400,,,Lower Marker
2021-12-01 - 09.52.28.HSD1000,D1,Oahu1950_1_mel,75,12.2,,250,1.47,,
2021-12-01 - 09.52.28.HSD1000,D1,Oahu1950_1_mel,147,819,,8550,98.53,,
2021-12-01 - 09.52.28.HSD1000,D1,Oahu1950_1_mel,1500,250,250,256,,,Upper Marker
2021-12-01 - 09.52.28.HSD1000,E1,Oahu1950_2_mel,25,474,,29200,,,Lower Marker
2021-12-01 - 09.52.28.HSD1000,E1,Oahu1950_2_mel,76,15.4,,311,1.94,,
2021-12-01 - 09.52.28.HSD1000,E1,Oahu1950_2_mel,97,29.9,,475,3.79,,
2021-12-01 - 09.52.28.HSD1000,E1,Oahu1950_2_mel,151,746,,7600,94.27,,
2021-12-01 - 09.52.28.HSD1000,E1,Oahu1950_2_mel,1500,250,250,256,,,Upper Marker
2021-12-01 - 09.52.28.HSD1000,F1,Honolulu1951_mel,25,522,,32100,,,Lower Marker
2021-12-01 - 09.52.28.HSD1000,F1,Honolulu1951_mel,74,22.0,,461,1.63,,
2021-12-01 - 09.52.28.HSD1000,F1,Honolulu1951_mel,90,13.2,,225,0.98,,
2021-12-01 - 09.52.28.HSD1000,F1,Honolulu1951_mel,145,1320,,14000,97.39,,
2021-12-01 - 09.52.28.HSD1000,F1,Honolulu1951_mel,1500,250,250,256,,,Upper Marker
2021-12-01 - 09.52.28.HSD1000,G1,Kauai1954_mel,25,488,,30000,,,Lower Marker
2021-12-01 - 09.52.28.HSD1000,G1,Kauai1954_mel,75,25.9,,530,2.26,,
2021-12-01 - 09.52.28.HSD1000,G1,Kauai1954_mel,96,9.63,,154,0.84,,
2021-12-01 - 09.52.28.HSD1000,G1,Kauai1954_mel,148,1110,,11500,96.90,,
2021-12-01 - 09.52.28.HSD1000,G1,Kauai1954_mel,1500,250,250,256,,,Upper Marker
2021-12-01 - 09.52.28.HSD1000,H1,Oahu1960_sim,25,501,,30800,,,Lower Marker
2021-12-01 - 09.52.28.HSD1000,H1,Oahu1960_sim,75,22.3,,459,4.73,,
2021-12-01 - 09.52.28.HSD1000,H1,Oahu1960_sim,96,21.6,,348,4.57,,
2021-12-01 - 09.52.28.HSD1000,H1,Oahu1960_sim,145,428,,4540,90.70,,
2021-12-01 - 09.52.28.HSD1000,H1,Oahu1960_sim,1500,250,250,256,,,Upper Marker
2021-12-01 - 09.52.28.HSD1000,A2,Kilaueau1953_sim,25,479,,29500,,,Lower Marker
2021-12-01 - 09.52.28.HSD1000,A2,Kilaueau1953_sim,76,16.6,,337,2.35,,
2021-12-01 - 09.52.28.HSD1000,A2,Kilaueau1953_sim,150,691,,7090,97.65,,
2021-12-01 - 09.52.28.HSD1000,A2,Kilaueau1953_sim,1500,250,250,256,,,Upper Marker
2021-12-01 - 09.52.28.HSD1000,B2,Kauai_1952_sim,25,489,,30100,,,Lower Marker
2021-12-01 - 09.52.28.HSD1000,B2,Kauai_1952_sim,76,33.4,,677,1.85,,
2021-12-01 - 09.52.28.HSD1000,B2,Kauai_1952_sim,152,1780,,18000,98.15,,
2021-12-01 - 09.52.28.HSD1000,B2,Kauai_1952_sim,1500,250,250,256,,,Upper Marker
2021-12-01 - 09.52.28.HSD1000,C2,Maui1958_sim,25,507,,31200,,,Lower Marker
2021-12-01 - 09.52.28.HSD1000,C2,Maui1958_sim,76,25.8,,525,2.40,,
2021-12-01 - 09.52.28.HSD1000,C2,Maui1958_sim,97,22.5,,359,2.10,,
2021-12-01 - 09.52.28.HSD1000,C2,Maui1958_sim,150,1030,,10500,95.50,,
2021-12-01 - 09.52.28.HSD1000,C2,Maui1958_sim,1500,250,250,256,,,Upper Marker
2021-12-01 - 09.52.28.HSD1000,D2,Oahu1965_sim,25,509,,31300,,,Lower Marker
2021-12-01 - 09.52.28.HSD1000,D2,Oahu1965_sim,75,32.9,,679,1.79,,
2021-12-01 - 09.52.28.HSD1000,D2,Oahu1965_sim,148,1270,,13200,69.44,,
2021-12-01 - 09.52.28.HSD1000,D2,Oahu1965_sim,190,527,,4260,28.76,,
2021-12-01 - 09.52.28.HSD1000,D2,Oahu1965_sim,1500,250,250,256,,,Upper Marker
