FileName,Well,Sample Description,Size [nt],Calibrated Conc. [pg/µl],Assigned Conc. [pg/µl],Peak Molarity [pmol/l],% Integrated Area,Peak Comment,Observations
2022-08-04 - 11.37.28.HSRNA,EL1,Electronic Ladder,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,EL1,Electronic Ladder,200,189,,2770,5.98,,
2022-08-04 - 11.37.28.HSRNA,EL1,Electronic Ladder,500,638,,3760,20.25,,
2022-08-04 - 11.37.28.HSRNA,EL1,Electronic Ladder,1000,557,,1640,17.66,,
2022-08-04 - 11.37.28.HSRNA,EL1,Electronic Ladder,2000,580,,854,18.42,,
2022-08-04 - 11.37.28.HSRNA,EL1,Electronic Ladder,4000,634,,466,20.11,,
2022-08-04 - 11.37.28.HSRNA,EL1,Electronic Ladder,6000,554,,272,17.58,,
2022-08-04 - 11.37.28.HSRNA,A1,A6,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,A1,A6,9868,3.18,,0.947,100.00,,28S
2022-08-04 - 11.37.28.HSRNA,B1,A9,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,B1,A9,431632,7.60,,0.0518,10.37,,
2022-08-04 - 11.37.28.HSRNA,B1,A9,608026,65.7,,0.318,89.63,,
2022-08-04 - 11.37.28.HSRNA,C1,B4,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,D1,B7,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,E1,B8,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,F1,B9,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,G1,B10,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,G1,B10,418076,2.59,,0.0183,19.55,,
2022-08-04 - 11.37.28.HSRNA,G1,B10,609031,10.7,,0.0515,80.45,,
2022-08-04 - 11.37.28.HSRNA,H1,B12,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,A2,C8,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,B2,C12,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,C2,D3,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,D2,D9,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,D2,D9,469755,7.12,,0.0446,27.63,,
2022-08-04 - 11.37.28.HSRNA,D2,D9,650498,18.7,,0.0844,72.37,,
2022-08-04 - 11.37.28.HSRNA,E2,E1,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,E2,E1,420404,1.89,,0.0132,16.21,,
2022-08-04 - 11.37.28.HSRNA,E2,E1,616092,9.77,,0.0466,83.79,,
2022-08-04 - 11.37.28.HSRNA,F2,E2,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,F2,E2,332496,2.03,,0.0180,11.69,,
2022-08-04 - 11.37.28.HSRNA,F2,E2,526155,15.3,,0.0858,88.31,,
2022-08-04 - 11.37.28.HSRNA,G2,E3,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,G2,E3,50,146,,8630,93.99,,
2022-08-04 - 11.37.28.HSRNA,G2,E3,312488,2.93,,0.0276,1.89,,
2022-08-04 - 11.37.28.HSRNA,G2,E3,533642,6.38,,0.0352,4.12,,
2022-08-04 - 11.37.28.HSRNA,H2,E8,25,700,700,82400,,,Lower Marker
2022-08-04 - 11.37.28.HSRNA,H2,E8,1848,2.32,,3.69,6.18,,18S
2022-08-04 - 11.37.28.HSRNA,H2,E8,430878,2.35,,0.0160,6.26,,
2022-08-04 - 11.37.28.HSRNA,H2,E8,546492,32.9,,0.177,87.56,,
