EL1: Electronic Ladder,A1: P1 B10,B1: P1 F1,C1: P2 12,D1: P3 A4,E1: P3 B11,F1: P3 D6,G1: P3 F1,H1: P3 H8,A2: P4 C4
0,0,0,0,0,0,0,0,0,0
0.02077436,0,0,0,0,0,0,0,0,0
0.003890991,0,0,0,0,0,0,0,0,0
0.004443645,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.001514435,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.01468706,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.04919553,0,0,0,0,0,0,0,0,0
0.07778025,0,0,0,0,0,0,0,0,0
0.06287456,0,0,0,0,0,0,0,0,0
0.143337,0,0,0,0,0,0,0,0,0
0.3017426,0,0,0,0,0,0,0,0,0
0.3133645,0,0,0,0,0,0,0,0,0
0.5862446,0,0,0,0,0,0,0,0,0
0.6384296,0,0,0,0,0,0,0,0,0
0.623435,0,0,0,0,0,0,0,0,0
0.7074766,0,0,0,0,0,0,0,0,0
0.7385635,0,0,0,0,0,0,0,0,0
0.6728959,0,0,0,0,0,0,0,0,0
0.53194,0,0,0,0,0,0,0,0,0
0.603312,0,0,0,0,0,0,0,0,0
0.523931,0,0,0,0,0,0,0,0,0
0.4217887,0,0,0,0,0,0,0,0,0
0.5978866,0,0,0,0,0,0,0,0,0
0.5986304,0,0,0,0,0,0,0,0,0
0.463788,0,0,0,0,0,0,0,0,0
0.5425901,0,0,0,0,0,0,0,0,0
0.5230641,0,0,0,0,0,0,0,0,0
0.4018135,0,0,0,0,0,0,0,0,0
0.447835,0,0,0,0,0,0,0,0,0
0.4380507,0,0,0,0,0,0,0,0,0
0.3837314,0,0,0,0,0,0,0,0,0
0.4111743,0,0,0,0,0,0,0,0,0
0.4198155,0,0,0,0,0,0,0,0,0
0.2100549,0,0,0,0,0,0,0,0,0
0.1311512,0,0,0,0,0,0,0,0,0
0.1020811,0,0,0,0,0,0,0,0,0
0.002857685,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.08973789,0,0,0,0,0,0,0,0,0
0.1419425,0,0,0,0,0,0,0,0,0
0.0909667,0,0,0,0,0,0,0,0,0
0.1482263,0.03149366,0.1064665,0.09898043,0,0,0,0,0.05449486,0
0.2121367,0.09904575,0.1959968,0.221241,0,0,0,0.02009583,0.1124701,0
0.01945496,0.273313,0.2716947,0.3114057,0,0,0,0.04730749,0.1717558,0
0,0.3249941,0.1993248,0.2926903,0,0,0,0.1413722,0.2015333,0
0,0.374254,0.1840444,0.2649026,0,0,0,0.2184901,0.2330875,0
0,0.4208229,0.2062368,0.305769,0,0,0.07274675,0.2010012,0.1948185,0
