EL1: Electronic Ladder,A1: P3 F1,B1: P3 H8
0,0,0
0.02077436,0,0
0.003890991,0,0
0.004443645,0,0
0,0,0
0.001514435,0,0
0,0,0
0,0,0
0.01468706,0,0
0,0,0
0,0,0
0.04919553,0,0
0.07778025,0,0
0.06287456,0,0
0.143337,0,0
0.3017426,0,0
0.3133645,0,0
0.5862446,0,0
0.6384296,0,0
0.623435,0,0
0.7074766,0,0
0.7385635,0,0
0.6728959,0,0
0.53194,0,0
0.603312,0,0
0.523931,0,0
0.4217887,0,0
0.5978866,0,0
0.5986304,0,0
0.463788,0,0
0.5425901,0,0
0.5230641,0,0
0.4018135,0,0
0.447835,0,0
0.4380507,0,0
0.3837314,0,0
0.4111743,0,0
0.4198155,0,0
0.2100549,0,0
0.1311512,0,0
0.1020811,0,0
0.002857685,0,0
0,0,0
0,0,0
0,0,0
0.08973789,0,0
0.1419425,0,0
0.0909667,0,0
0.1482263,0.1212628,0.06556129
0.2121367,0.1128554,0.1301341
0.01945496,0.1571884,0.2299027
0,0.1074703,0.2814341
0,0.08922315,0.2821188
0,0.07444382,0.1936722
0.08420372,0.05175877,0.1636457
0.03852177,0.03982472,0.1053586
0.1143756,0.01391912,0.09867716
0.2220144,0.1020005,0.1014657
0.4593344,0.1898572,0.1008072
0.3339543,0.1165214,0.09121466
0.2182727,0.1821766,0.09543324
0.2291179,0.1689413,0.1378565
0.2393465,0.2135313,0.1854472
0.2078538,0.257302,0.167685
0.1527991,0.3440592,0.2276902
0,0.3479097,0.1777196
0.02681494,0.2864377,0.2104182
0,0.2767212,0.2353911
0,0.1493237,0.1873641
0,0.002936125,0.08946371
0.004436493,0,0.1139431
0.1063318,0,0.1758304
0.03486204,0.03334379,0.1835771
0.07004738,0.01881909,0.1470389
0.1939974,0.1038282,0.1321716
0.2114682,0.0599587,0.05252218
0.3254375,0.04427862,0.01958466
0.3272204,0,0
0.3582625,0,0
0.6224704,0,0
0.6738214,0.02666903,0.04487085
0.6119556,0.116205,0.0269537
0.3347888,0.258168,0
0.1531692,0.2725029,0
0.07856035,0.4324195,0.009006977
0.02700949,0.4470661,0.007067204
0,0.3258822,0
0,0.2313113,0
0,0.1680775,0.03457928
0,0.2504375,0.02378798
0.04109764,0.3218677,0.0556922
0,0.3820028,0.1328211
0.02638292,0.4354424,0.2391219
0.06229401,0.4548287,0.3962445
0.04121494,0.484304,0.4882255
0,0.441391,0.5161958
0,0.3260734,0.3596945
0,0.3070147,0.1984735
0,0.2957215,0.09875917
0,0.4200735,0.04582119
0,0.4019547,0.06051779
0,0.4911356,0.06032705
0,0.487273,0.1707273
0,0.4614382,0.3209529
0,0.3906214,0.4062157
0,0.3746035,0.5181684
0.3040228,0.2476902,0.4398284
1.405515,0.2298281,0.3600421
2.834507,0.192477,0.3502145
4.043449,0.1854064,0.405664
5.409372,0.2310054,0.3424687
7.060751,0.3544073,0.1985703
9.01142,0.4315636,0.1783895
11.38547,0.3644621,0.08389473
14.12005,0.3549132,0.09414291
17.26014,0.2904058,0.1678863
20.97051,0.1397402,0.2004399
25.3254,0.1232519,0.2060161
30.42628,0.08891869,0.2303286
36.0128,0.01226521,0.2181296
42.3921,0.04179788,0.1365099
49.75721,0.1824257,0.06674004
58.11675,0.3167624,0.0405817
67.09781,0.3538728,0
76.59318,0.4938946,0.03999805
86.53235,0.6000214,0.1187901
96.71154,0.7027066,0.2189212
107.3292,0.751857,0.2831659
118.0085,0.6225958,0.3163013
128.5506,0.4221389,0.3054709
138.9781,0.277864,0.3542509
148.6813,0.2533152,0.3871779
158.0438,0.1413202,0.2981124
165.8421,0.1224463,0.2236586
172.4071,0.102742,0.19944
177.1938,0.266547,0.1283116
180.721,0.3821688,0.06902456
182.7976,0.4288554,0.05485344
184.0034,0.4430594,0.0298543
183.7612,0.4715319,0
182.0963,0.467365,0.02441502
179.2551,0.3200159,0.07107258
175.4089,0.1644747,0.01432037
169.8648,0.05428696,0
163.6694,0,0.03650618
156.3133,0,0
148.2467,0,0
139.6879,0,0
131.4263,0.0904026,0
122.399,0.1287289,0
113.4277,0.178479,0
104.7552,0.1311879,0
96.02428,0.1823421,0
87.56607,0.1389821,0
79.93262,0.2142661,0.0671401
72.51277,0.247587,0.1651773
65.42696,0.2600777,0.2543039
58.7887,0.2038326,0.3287125
53.03083,0.1852076,0.3246346
47.41869,0.1753237,0.1444101
42.51573,0.2315369,0.04625559
38.00323,0.2851493,0.08707809
34.11943,0.2582314,0.05985403
30.83343,0.2481694,0.06316471
28.08009,0.2373641,0.09557056
25.57552,0.2116613,0.08305264
23.51604,0.1370313,0.03461361
21.80286,0.05794024,0.09200048
20.47512,0,0.05673504
19.14278,0,0
18.04222,0,0.07993507
16.84309,0,0.1440105
16.03548,0.01746345,0.2730713
15.28468,0.02176023,0.3911147
14.43121,0,0.4592967
13.87171,0.02359986,0.3731117
13.48894,0.08036947,0.3237014
13.46001,0.06650472,0.2875733
13.14586,0.09347606,0.1790843
12.79887,0.1173782,0.09212351
12.60898,0.1670964,0.1493464
12.22836,0.2123389,0.1235328
11.97549,0.188025,0.1996651
11.68075,0.05794239,0.1772475
11.16488,0,0.1176615
10.84782,0,0.1329737
10.45394,0,0.09470272
10.1925,0,0.08924723
9.845958,0,0.07501078
9.430903,0,0.06786251
9.227633,0,0.04750633
8.951421,0,0.03790045
8.649407,0,0
8.43328,0,0
8.136649,0,0
7.748421,0,0.02949047
7.452363,0,0.03035641
7.086936,0,0.04093027
6.854991,0,0.02919579
6.527324,0,0.002085209
6.17592,0,0
5.929846,0,0
5.731161,0,0
5.530811,0,0.05408859
5.314283,0,0.05006075
5.039759,0,0.04642868
4.879637,0,0.06153202
4.533747,0,0
4.246821,0,0
3.987095,0,0
3.707324,0,0
3.459528,0.2139893,0.01960802
3.27951,2.269365,0
3.214552,4.576599,0
3.010284,7.038651,0
3.008267,9.888309,0
2.798151,12.97225,0
2.634225,16.4986,0
2.382677,20.33023,0
2.227367,24.67432,0
2.095788,29.40262,0.0479126
1.843846,34.68912,0.003351688
1.697485,40.33542,0
1.858475,46.39778,0.01096296
1.811575,53.07682,0.04588985
1.964374,60.63173,0.03181314
1.901066,68.89507,0.02948523
1.778781,77.92958,0.0109911
1.556797,87.92714,0
1.403651,99.10199,0
1.308333,111.7215,0
1.10693,125.6649,0
1.049143,141.1505,0
1.241197,157.9713,0
1.354727,176.5379,0.01103115
1.502384,196.0953,0.009723186
1.519122,217.0746,0.04501486
1.324928,239.0944,0.01420259
1.076735,260.924,0.008302212
0.9952097,282.6606,0
0.8940001,302.3875,0
0.725214,319.5572,0
0.6926012,335.0557,0
0.6888208,345.2091,0
0.7387056,351.0036,0
0.8532467,351.3215,0
0.7408857,347.0915,0
0.7472887,337.4778,0
0.8692646,321.7245,0.002222538
1.168772,301.4294,0
1.190784,276.5166,0.0484767
1.200372,249.8305,0.01612091
1.114477,223.2407,0
0.9727325,195.8601,0
0.8234692,171.0009,0
0.8036432,148.7141,0
0.7431259,129.8661,0
0.7612772,114.0346,0
1.037474,100.7064,0
1.257266,90.09804,0
1.272376,81.63841,0
1.354032,75.23515,0
1.327152,70.47475,0
1.441128,66.88055,0
1.437162,64.24133,0
1.53565,62.4628,0
1.483832,61.35312,0
1.313531,60.6392,0
1.350208,60.29772,0
1.262451,60.56787,0
1.230331,61.00907,0
1.182846,61.9173,0
1.293417,63.17748,0
1.43209,64.25749,2.308443
1.565934,65.6534,6.789183
1.778693,67.41389,12.41196
1.832576,69.04726,19.39864
1.958308,70.55663,28.06099
2.013226,71.81631,38.52995
1.900956,72.97369,50.9496
1.976776,73.74228,65.46265
1.942533,74.34511,81.98079
2.064632,74.4117,101.1618
2.001075,74.03769,123.0527
2.192392,73.67123,147.3041
2.310712,73.10915,174.3933
2.362311,72.12253,204.497
2.456297,70.91222,237.6906
2.468528,69.44333,275.4466
2.466484,67.7115,314.2761
2.562199,65.75769,355.2196
2.688143,63.74351,398.8756
2.760905,61.57567,445.843
2.684251,59.65026,493.3265
2.796084,57.76537,541.763
2.842338,55.84925,588.6349
2.957272,53.888,635.7173
3.109657,52.09931,680.0878
3.35411,50.50669,720.7184
3.562705,48.84153,752.7717
3.711011,47.30259,776.8267
3.779229,46.1997,793.8616
3.873752,45.40149,800.4148
3.97186,45.11113,795.7825
4.120864,45.24967,783.68
4.407995,45.92598,756.5082
4.740877,47.17184,721.7783
5.183635,49.24485,680.4413
5.696602,51.87858,633.4365
6.020205,55.09386,583.9269
6.294484,59.00635,532.6311
6.550032,63.66846,482.6792
7.067249,68.82692,434.5939
7.607132,74.47899,391.5977
7.999272,80.20921,353.6614
8.483399,85.98883,315.9637
9.100471,91.45885,284.4474
9.723855,96.35936,258.6529
10.54847,100.4106,236.7257
11.37495,103.4442,218.9142
12.50006,105.5924,203.5527
13.92115,106.1325,190.7704
15.43674,105.5747,180.7592
17.24239,103.8639,172.7018
19.26184,100.838,165.9576
21.67051,96.89319,160.6522
24.47736,91.96541,156.2025
27.67189,86.56827,152.6108
31.58931,80.66318,150.0586
35.96396,74.63326,147.8481
40.95355,68.91718,146.4811
46.12794,63.1058,145.4607
51.64317,57.89437,145.0907
57.59286,53.3041,145.1375
63.7354,49.31501,145.8429
69.85553,45.98752,146.8275
75.89359,43.20322,148.4211
81.78076,41.10912,151.1505
87.19453,39.20315,154.6661
91.76865,37.82209,159.0059
95.54222,36.81627,164.1261
98.08273,35.81016,169.7814
99.29156,35.10676,176.3087
99.06339,34.47657,182.9166
97.45181,33.94921,190.1428
94.50578,33.34319,197.515
90.77435,32.74087,205.493
86.22996,32.14527,214.1857
80.70927,31.50043,222.5714
74.90852,30.75481,230.7597
68.94247,30.08776,238.786
62.84081,29.10781,246.2737
56.55688,28.33386,252.9267
50.46388,27.51838,259.0847
44.74711,26.74271,264.0209
39.44721,25.88309,268.0731
34.87772,25.1002,271.4689
30.95333,24.31107,273.7431
27.34794,23.69249,274.6441
24.55551,23.03661,274.4014
22.37551,22.52559,273.0333
20.65787,21.91705,270.7476
19.16058,21.63117,267.2582
18.21872,21.61007,263.4386
17.438,21.52838,258.2055
16.86738,21.47835,252.9686
16.64213,21.5318,247.6982
16.57688,21.51839,241.8663
16.45852,21.778,236.4508
16.46589,21.86003,231.5174
16.63826,22.15843,227.4393
16.67247,22.3917,224.7087
16.84927,22.65734,222.908
17.22406,23.12434,222.5741
17.14243,23.6045,223.4501
17.43853,24.06926,225.4665
17.82478,24.55607,228.2632
17.96032,25.01446,231.3662
18.25215,25.23188,235.351
18.41615,25.16503,239.5044
18.5258,25.16327,244.2693
18.76223,24.96078,248.474
19.05353,24.59621,251.8904
19.16386,24.26324,254.8188
19.16387,23.90097,256.4973
19.28988,23.56188,256.8627
19.35769,23.27891,255.5745
19.3758,23.02328,252.8154
19.57454,22.47092,249.175
19.62598,22.024,243.6431
19.78218,21.63723,237.4462
20.18354,21.35653,229.8211
20.41926,20.96494,221.8287
20.65388,20.66717,214.3041
21.04916,20.48592,206.5545
21.33175,20.41884,199.0836
21.92436,20.37687,192.5714
22.47783,20.25083,186.3976
23.19967,20.07069,181.3939
24.00547,19.91272,176.6414
24.92137,19.7504,172.9311
26.07762,19.5329,169.5752
27.05424,19.34646,166.7509
28.35841,19.20344,164.2843
29.94373,19.07579,161.4882
31.9086,18.82275,158.4594
34.26385,18.59286,155.7977
36.98215,18.31945,152.5226
40.44484,17.98401,149.5886
44.49338,17.62692,146.4079
49.04794,17.32261,143.3241
54.35099,17.04116,139.8715
60.32379,16.86121,136.4555
67.59665,16.6496,132.9537
76.28723,16.42445,129.3409
86.51976,16.21198,125.802
97.90131,16.0394,122.0945
110.6739,15.86969,118.6077
125.2747,15.54426,115.379
140.65,15.27477,112.2643
156.6973,15.04598,109.5689
174.3146,14.93497,107.0886
192.1764,14.84187,105.0461
210.3529,14.86436,103.4922
229.0379,14.93753,102.2354
247.1249,14.95888,101.3419
263.5541,14.87683,100.4984
278.7838,14.88628,100.0174
292.334,14.84906,99.79337
303.5136,14.78828,99.94057
312.692,14.69445,100.291
320.2479,14.66965,100.5857
