EL1: Electronic Ladder,A1: B1,B1: B3,C1: B4,D1: B5,E1: B6,F1: B7,G1: C1,H1: C4,A2: C7,B2: C10,C2: F1,D2: F2,E2: F3,F2: F8
5.67161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.343884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.153187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.695121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.16907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.100934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.821188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.228885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.178646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.743477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.578838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.304523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.334723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.495985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.091307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.112174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.98856,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.337534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.66657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.847709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.895757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.958101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.571398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.196818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.434913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.465452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.692435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.425135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.353402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.092937,0.8451872,1.318436,1.045779,1.313629,0.6083074,0.6572013,0.9354033,0.3999362,0.6014626,0.5009933,0.5491877,0.7437201,0.5611567,0.3404508
2.734993,0.9479752,1.214907,1.11519,1.201706,0.8129191,0.7964373,0.86129,0.4071622,0.5875766,0.538765,0.6093287,0.8497534,0.5945187,0.3858519
3.059315,1.072147,1.010619,1.09822,1.094184,0.8525658,0.8818822,0.7848563,0.4226713,0.6568568,0.6087031,0.6856265,0.8734007,0.5590005,0.4763341
3.125,1.094077,0.9543626,1.070212,1.087194,0.801723,0.9231043,0.8483205,0.4572759,0.742327,0.7347207,0.7200713,0.9410076,0.5053029,0.6033573
2.889004,0.9451215,0.8462288,1.037458,1.024997,0.7568622,0.8918357,0.8265767,0.2795248,0.770812,0.7187912,0.8461208,0.8905611,0.4153032,0.6763926
3.012544,0.816205,0.714617,0.9876509,0.9958496,0.7607589,0.8480778,0.8388395,0.2525468,0.7733192,0.6889331,0.9233479,0.7519293,0.3104343,0.6299329
2.52619,0.5692294,0.6836443,0.9810209,1.099001,0.6794364,0.8112702,0.8051653,0.3074069,0.8214922,0.6847844,0.9986193,0.5605164,0.3643951,0.6368403
2.410615,0.5127006,0.7082129,0.8361495,1.114477,0.7292194,0.7240925,0.6796598,0.3417325,0.8430381,0.5980425,1.141864,0.4553595,0.3888779,0.5558453
1.839864,0.5946012,0.7912886,0.732739,1.153894,0.7837205,0.5375671,0.5616603,0.3041253,0.7564428,0.435617,1.16403,0.6520796,0.3692122,0.5567293
1.826594,0.6188128,0.7376406,0.7354872,1.259957,0.9094267,0.3282819,0.4794927,0.235342,0.6853075,0.368139,1.192118,0.7203336,0.41258,0.6161718
1.71341,0.8090425,0.7912807,0.6812913,1.29068,0.9501207,0.2559752,0.4194789,0.2446122,0.7199869,0.2421455,1.074038,0.8637705,0.3752632,0.5877881
1.763825,0.8999667,0.7670944,0.7198749,1.276971,1.045067,0.3279228,0.3752031,0.3304915,0.5823154,0.327867,1.058425,0.9133072,0.4263315,0.686583
1.97523,0.9829526,0.8439176,0.6846585,1.283196,0.8906412,0.3557787,0.3629575,0.3493352,0.5918469,0.4174933,0.8643308,0.9730649,0.4550767,0.7306528
1.864538,0.9608684,0.9089041,0.6624689,1.341688,0.7175775,0.3842063,0.5526986,0.3548861,0.6111619,0.5000205,0.7108016,1.127761,0.5564113,0.8365264
1.714411,0.7739949,0.8369794,0.7771857,1.300253,0.6378179,0.5381422,0.6156049,0.2144742,0.5526071,0.4213312,0.6786885,1.024315,0.5289383,0.8621922
1.448491,0.7792618,0.7309718,0.856447,1.315249,0.6257625,0.6201873,0.7014542,0.3761735,0.5661793,0.3903992,0.5891175,1.008593,0.6231427,0.8340807
0.6471062,0.6736236,0.7589462,0.8798556,1.293755,0.635838,0.6628518,0.6317472,0.4808221,0.6213737,0.4255278,0.634738,1.016079,0.8300209,0.8253131
0.4529276,0.7564452,0.8181913,0.84079,1.278584,0.6371651,0.724422,0.6178823,0.7172832,0.6758137,0.3297069,0.6612406,0.9369845,0.8756866,0.7136631
0.5404768,0.883718,0.7765684,0.7500808,1.259576,0.6540995,0.8054457,0.5621758,0.7903471,0.5677507,0.2273083,0.7092395,0.9252405,0.8738689,0.7740831
0.6678228,0.9159739,0.721395,0.6219535,1.112065,0.6377673,0.8652501,0.5678215,0.8901443,0.4727612,0.1021557,0.7022824,0.8754387,0.7961259,0.879106
1.198462,0.9589503,0.6809354,0.6583583,1.044306,0.5752268,0.9674678,0.6569953,0.8986812,0.5158172,0.165148,0.7000976,0.8108377,0.6886387,0.8671212
1.129963,0.950058,0.6941025,0.6418066,0.9216373,0.571712,1.013152,0.7204723,0.8730221,0.4825191,0.3109102,0.7100902,0.7187018,0.6873116,0.9484406
1.402454,0.8652885,0.7938178,0.574559,0.7791464,0.528863,1.072361,0.7591581,0.8073459,0.4203627,0.3130469,0.4939895,0.6502147,0.7594328,0.8544936
1.631498,0.7202761,0.6315672,0.584605,0.7575314,0.4849162,0.942029,0.8385706,0.7199907,0.4864061,0.2993069,0.4611886,0.5368743,0.7766318,0.9611526
1.628022,0.6159778,0.676827,0.719768,0.7297871,0.4844213,0.905592,0.7966576,0.5601163,0.444277,0.277283,0.4638638,0.4370885,0.6774359,0.9508886
2.084245,0.6598344,0.7208242,0.6781988,0.7170875,0.461108,0.5806799,0.7168436,0.5526657,0.4345121,0.3135886,0.4617057,0.404891,0.8292828,0.956202
