FileName,Well,Sample Description,Size [bp],Calibrated Conc. [pg/µl],Assigned Conc. [pg/µl],Peak Molarity [pmol/l],% Integrated Area,Peak Comment,Observations
2022-08-08 - 11.57.03.HSD1000,EL1,Electronic Ladder,25,340,,20900,,,Lower Marker
2022-08-08 - 11.57.03.HSD1000,EL1,Electronic Ladder,50,265,,8160,11.28,,
2022-08-08 - 11.57.03.HSD1000,EL1,Electronic Ladder,100,278,,4270,11.82,,
2022-08-08 - 11.57.03.HSD1000,EL1,Electronic Ladder,200,290,,2230,12.32,,
2022-08-08 - 11.57.03.HSD1000,EL1,Electronic Ladder,300,304,,1560,12.95,,
2022-08-08 - 11.57.03.HSD1000,EL1,Electronic Ladder,400,306,,1180,13.00,,
2022-08-08 - 11.57.03.HSD1000,EL1,Electronic Ladder,500,312,,961,13.29,,
2022-08-08 - 11.57.03.HSD1000,EL1,Electronic Ladder,700,286,,629,12.19,,
2022-08-08 - 11.57.03.HSD1000,EL1,Electronic Ladder,1000,309,,476,13.15,,
2022-08-08 - 11.57.03.HSD1000,EL1,Electronic Ladder,1500,250,250,256,,,Upper Marker
2022-08-08 - 11.57.03.HSD1000,A1,B1,25,421,,25900,,,Lower Marker
2022-08-08 - 11.57.03.HSD1000,A1,B1,162,498,,4740,34.42,,
2022-08-08 - 11.57.03.HSD1000,A1,B1,207,949,,7060,65.58,,
2022-08-08 - 11.57.03.HSD1000,A1,B1,1500,250,250,256,,,Upper Marker
2022-08-08 - 11.57.03.HSD1000,B1,B3,25,424,,26100,,,Lower Marker
2022-08-08 - 11.57.03.HSD1000,B1,B3,159,192,,1870,28.21,,
2022-08-08 - 11.57.03.HSD1000,B1,B3,203,485,,3680,71.07,,
2022-08-08 - 11.57.03.HSD1000,B1,B3,699,4.92,,10.8,0.72,,
2022-08-08 - 11.57.03.HSD1000,B1,B3,1500,250,250,256,,,Upper Marker
2022-08-08 - 11.57.03.HSD1000,C1,B4,25,410,,25200,,,Lower Marker
2022-08-08 - 11.57.03.HSD1000,C1,B4,160,175,,1680,15.77,,
2022-08-08 - 11.57.03.HSD1000,C1,B4,207,935,,6960,84.23,,
2022-08-08 - 11.57.03.HSD1000,C1,B4,1500,250,250,256,,,Upper Marker
2022-08-08 - 11.57.03.HSD1000,D1,B5,25,410,,25200,,,Lower Marker
2022-08-08 - 11.57.03.HSD1000,D1,B5,160,83.0,,799,6.73,,
2022-08-08 - 11.57.03.HSD1000,D1,B5,201,1130,,8640,91.29,,
2022-08-08 - 11.57.03.HSD1000,D1,B5,687,12.8,,28.6,1.04,,
2022-08-08 - 11.57.03.HSD1000,D1,B5,1500,250,250,256,,,Upper Marker
2022-08-08 - 11.57.03.HSD1000,D1,B5,2752,11.8,,6.57,0.95,,Peak outside of Sizing Range
2022-08-08 - 11.57.03.HSD1000,E1,B6,25,412,,25400,,,Lower Marker
2022-08-08 - 11.57.03.HSD1000,E1,B6,78,11.7,,232,0.58,,
2022-08-08 - 11.57.03.HSD1000,E1,B6,159,671,,6500,33.36,,
2022-08-08 - 11.57.03.HSD1000,E1,B6,201,1330,,10200,66.05,,
2022-08-08 - 11.57.03.HSD1000,E1,B6,1500,250,250,256,,,Upper Marker
2022-08-08 - 11.57.03.HSD1000,F1,B7,25,445,,27400,,,Lower Marker
2022-08-08 - 11.57.03.HSD1000,F1,B7,218,395,,2790,100.00,,
2022-08-08 - 11.57.03.HSD1000,F1,B7,1500,250,250,256,,,Upper Marker
2022-08-08 - 11.57.03.HSD1000,G1,C1,25,425,,26200,,,Lower Marker
2022-08-08 - 11.57.03.HSD1000,G1,C1,158,27.9,,271,3.83,,
2022-08-08 - 11.57.03.HSD1000,G1,C1,203,700,,5300,96.17,,
2022-08-08 - 11.57.03.HSD1000,G1,C1,1500,250,250,256,,,Upper Marker
2022-08-08 - 11.57.03.HSD1000,H1,C4,25,427,,26300,,,Lower Marker
2022-08-08 - 11.57.03.HSD1000,H1,C4,155,102,,1020,9.73,,
2022-08-08 - 11.57.03.HSD1000,H1,C4,202,949,,7220,90.27,,
2022-08-08 - 11.57.03.HSD1000,H1,C4,1500,250,250,256,,,Upper Marker
2022-08-08 - 11.57.03.HSD1000,A2,C7,25,388,,23900,,,Lower Marker
2022-08-08 - 11.57.03.HSD1000,A2,C7,161,107,,1030,8.17,,
2022-08-08 - 11.57.03.HSD1000,A2,C7,211,1210,,8800,91.83,,
2022-08-08 - 11.57.03.HSD1000,A2,C7,1500,250,250,256,,,Upper Marker
2022-08-08 - 11.57.03.HSD1000,B2,C10,25,410,,25200,,,Lower Marker
2022-08-08 - 11.57.03.HSD1000,B2,C10,159,152,,1470,14.50,,
2022-08-08 - 11.57.03.HSD1000,B2,C10,206,871,,6520,83.05,,
2022-08-08 - 11.57.03.HSD1000,B2,C10,712,12.1,,26.2,1.15,,
2022-08-08 - 11.57.03.HSD1000,B2,C10,1500,250,250,256,,,Upper Marker
2022-08-08 - 11.57.03.HSD1000,B2,C10,2759,13.6,,7.58,1.30,,Peak outside of Sizing Range
2022-08-08 - 11.57.03.HSD1000,C2,F1,25,445,,27400,,,Lower Marker
2022-08-08 - 11.57.03.HSD1000,C2,F1,158,645,,6280,48.89,,
2022-08-08 - 11.57.03.HSD1000,C2,F1,195,674,,5310,51.11,,
2022-08-08 - 11.57.03.HSD1000,C2,F1,1500,250,250,256,,,Upper Marker
2022-08-08 - 11.57.03.HSD1000,D2,F2,25,462,,28400,,,Lower Marker
2022-08-08 - 11.57.03.HSD1000,D2,F2,159,955,,9260,68.74,,
2022-08-08 - 11.57.03.HSD1000,D2,F2,192,434,,3470,31.26,,
2022-08-08 - 11.57.03.HSD1000,D2,F2,1500,250,250,256,,,Upper Marker
2022-08-08 - 11.57.03.HSD1000,E2,F3,25,457,,28100,,,Lower Marker
