EL1: Electronic Ladder,A1: Fresh_M,B1: Fresh_F
0,0,0
0.02077436,0,0
0.003890991,0,0
0.004443645,0,0
0,0,0
0.001514435,0,0
0,0,0
0,0,0
0.01468706,0,0
0,0,0
0,0,0
0.04919553,0,0
0.07778025,0,0
0.06287456,0,0
0.143337,0,0
0.3017426,0,0
0.3133645,0,0
0.5862446,0,0
0.6384296,0,0
0.623435,0,0
0.7074766,0,0
0.7385635,0,0
0.6728959,0,0
0.53194,0,0
0.603312,0,0
0.523931,0,0
0.4217887,0,0
0.5978866,0,0
0.5986304,0,0
0.463788,0,0
0.5425901,0,0
0.5230641,0,0
0.4018135,0,0
0.447835,0,0
0.4380507,0,0
0.3837314,0,0
0.4111743,0,0
0.4198155,0,0
0.2100549,0,0
0.1311512,0,0
0.1020811,0,0
0.002857685,0,0
0,0,0
0,0,0
0,0,0
0.08973789,0,0
0.1419425,0,0
0.0909667,0,0
0.1482263,0,0
0.2121367,0,0
0.01945496,0.006643772,0
0,0,0
0,0,0
0,0,0
0.08420372,0,0
0.03852177,0,0
0.1143756,0,0.04631543
0.2220144,0.03929114,0.06327128
0.4593344,0,0.1051428
0.3339543,0,0.1794994
0.2182727,0,0.2110941
0.2291179,0.07588863,0.2547028
0.2393465,0.1995592,0.3072784
0.2078538,0.2274756,0.2554677
0.1527991,0.2242181,0.1923563
0,0.2382033,0.2001231
0.02681494,0.2073362,0.1988046
0,0.2744737,0.0647285
0,0.196352,0.01491547
0,0.1033397,0
0.004436493,0.1906872,0
0.1063318,0.229389,0
0.03486204,0.2217727,0.02297425
0.07004738,0.1869156,0.02412486
0.1939974,0.1337852,0.07227325
0.2114682,0.1518226,0.09801984
0.3254375,0.09326363,0.1199863
0.3272204,0.1134109,0.0340662
0.3582625,0.0444777,0.05891013
0.6224704,0.01271558,0.01910329
0.6738214,0.2028162,0
0.6119556,0.1189365,0
0.3347888,0.07468963,0.02784538
0.1531692,0.09621596,0.1689854
0.07856035,0.1162779,0.3189065
0.02700949,0.2194278,0.3052144
0,0.2201695,0.304867
0,0.212997,0.2997289
0,0.2592967,0.3233488
0,0.3377683,0.3060348
0.04109764,0.4920762,0.217586
0,0.4332607,0.1995645
0.02638292,0.3880847,0.2180777
0.06229401,0.3571727,0.2059214
0.04121494,0.2518096,0.1100891
0,0.1721218,0
0,0.05656171,0
0,0,0
0,0.01738572,0.09216928
0,0.09091783,0.1055639
0,0.07133722,0.183892
0,0.03531623,0.2447786
0,0.0458827,0.2025239
0,0.131942,0.1118345
0,0.176317,0.02967119
0,0.2847474,0.03409672
0.3040228,0.4247551,0.04766941
1.405515,0.5208721,0
2.834507,0.5472736,0
4.043449,0.576088,0
5.409372,0.4653282,0
7.060751,0.3709674,0.06387043
9.01142,0.2456374,0.07894325
11.38547,0.2618072,0.1510358
14.12005,0.1945617,0.1798635
17.26014,0.1100416,0.2333117
20.97051,0.05754781,0.1379089
25.3254,0.0194571,0.1370225
30.42628,0,0.1705542
36.0128,0,0.1418772
42.3921,0,0.05414724
49.75721,0,0
58.11675,0.04228735,0.02101183
67.09781,0.2380404,0.0141902
76.59318,0.1738133,0
86.53235,0.09953928,0
96.71154,0.01578426,0
107.3292,0.04452515,0
118.0085,0,0
128.5506,0,0.03174257
138.9781,0,0
148.6813,0,0
158.0438,0,0
165.8421,0,0
172.4071,0.1056271,0.01491547
177.1938,0.1619701,0.08975315
180.721,0.1060472,0.04496479
182.7976,0.1288781,0
184.0034,0.03832388,0
183.7612,0,0
182.0963,0,0
179.2551,0.0268054,0
175.4089,0,0
169.8648,0,0.03418589
163.6694,0,0
156.3133,0,0
148.2467,0,0
139.6879,0,0
131.4263,0,0
122.399,0,0
113.4277,0,0
104.7552,0,0
96.02428,0,0.008738041
87.56607,0,0.01055956
79.93262,0,0
72.51277,0,0
65.42696,0.05247211,0
58.7887,0,0
53.03083,0,0
47.41869,0,0
42.51573,0,0
38.00323,0,0
34.11943,0,0
30.83343,0,0
28.08009,0,0
25.57552,0,0
23.51604,0,1.587093
21.80286,0.2120676,4.054163
20.47512,2.441386,7.576742
19.14278,5.81319,12.73309
18.04222,10.19691,19.70755
16.84309,16.63014,29.07709
16.03548,25.44959,41.25591
15.28468,36.99072,56.57604
14.43121,51.66619,75.19687
13.87171,69.96485,98.02654
13.48894,91.99065,124.3899
13.46001,117.6721,155.0703
13.14586,147.5461,188.6853
12.79887,180.7413,225.2566
12.60898,216.7844,264.5563
12.22836,255.241,305.7748
11.97549,292.5387,346.5979
11.68075,330.3756,384.5909
11.16488,367.3462,419.9178
10.84782,401.0422,450.6165
10.45394,430.0945,475.0646
10.1925,454.601,494.0036
9.845958,473.1161,506.4132
9.430903,484.5772,508.873
9.227633,489.0886,505.224
8.951421,485.651,493.5576
8.649407,471.2361,474.472
8.43328,451.3476,448.2653
8.136649,425.0749,417.9402
7.748421,393.8654,383.8019
7.452363,359.864,347.6486
7.086936,324.3049,311.962
6.854991,288.5315,277.4016
6.527324,254.7929,242.4064
6.17592,223.3609,211.2895
5.929846,194.4618,182.2855
5.731161,167.2078,157.0286
5.530811,143.6685,134.7484
5.314283,123.122,115.7944
5.039759,106.2861,99.9162
4.879637,92.10962,86.27814
4.533747,79.81366,75.03635
4.246821,70.15412,65.84329
3.987095,62.46091,58.44647
3.707324,56.05426,52.26663
3.459528,50.95636,47.37397
3.27951,47.04204,43.48139
3.214552,43.57716,40.14072
3.010284,40.53048,37.41436
3.008267,37.90565,35.15287
2.798151,35.46462,33.04522
2.634225,33.33167,31.06642
2.382677,31.48348,29.14474
2.227367,29.64988,27.2882
2.095788,28.08289,25.46601
1.843846,26.54745,23.89161
1.697485,25.16427,22.31702
1.858475,23.75504,20.70344
1.811575,22.40938,19.37525
1.964374,21.12943,18.09846
1.901066,19.83622,16.92924
1.778781,18.73609,15.87995
1.556797,17.7961,14.95422
1.403651,16.80615,14.04168
1.308333,16.05104,13.20244
1.10693,15.336,12.53445
1.049143,14.71959,11.90685
1.241197,14.18165,11.36771
1.354727,13.71943,11.01783
1.502384,13.35362,10.69535
1.519122,13.00032,10.49668
1.324928,12.84738,10.25462
1.076735,12.67919,10.12757
0.9952097,12.51439,10.03045
0.8940001,12.56989,10.00781
0.725214,12.70513,10.04865
0.6926012,12.74085,10.18935
0.6888208,12.88203,10.5115
0.7387056,13.05832,10.76123
0.8532467,13.27674,11.0775
0.7408857,13.46996,11.34747
0.7472887,13.76864,11.66505
0.8692646,13.83777,12.03115
1.168772,14.13311,12.34616
1.190784,14.49521,12.80118
1.200372,14.88327,13.20903
1.114477,15.29199,13.66438
0.9727325,15.74751,14.2923
0.8234692,16.20169,14.81969
0.8036432,16.59379,15.3199
0.7431259,16.98236,15.70838
0.7612772,17.32792,16.27853
1.037474,17.50527,16.61938
1.257266,17.87207,16.90987
1.272376,18.11257,17.1563
1.354032,18.27912,17.22042
1.327152,18.40728,17.31324
1.441128,18.58011,17.43557
1.437162,18.76753,17.50791
1.53565,18.97999,17.52065
1.483832,19.25332,17.49724
1.313531,19.37139,17.5681
1.350208,19.54438,17.48324
1.262451,19.86169,17.42433
1.230331,20.29306,17.39519
1.182846,20.76551,17.40392
1.293417,21.32448,17.5182
1.43209,22.13256,17.71863
1.565934,23.07265,18.20574
1.778693,24.14043,18.67151
1.832576,25.54997,19.41322
1.958308,27.09052,20.34431
2.013226,29.0144,21.37149
1.900956,31.3589,22.80846
1.976776,34.16447,24.65624
1.942533,37.33263,26.76229
2.064632,40.99661,29.35845
2.001075,45.13614,32.3419
2.192392,49.82178,35.79482
2.310712,54.87231,39.57008
2.362311,60.64472,44.10545
2.456297,66.7954,49.00132
2.468528,73.51858,54.30762
2.466484,80.27868,60.10716
2.562199,87.16228,66.18872
2.688143,94.08369,72.27623
2.760905,100.9877,78.59502
2.684251,107.6468,84.68687
2.796084,114.0483,90.47987
2.842338,119.7505,95.71979
2.957272,124.7809,100.5822
3.109657,128.815,104.6099
3.35411,131.9142,107.7845
3.562705,133.4531,109.9831
3.711011,133.9198,110.8392
3.779229,133.3068,110.7215
3.873752,131.7052,109.7945
3.97186,129.0456,107.6639
4.120864,125.539,104.7085
4.407995,121.4813,100.9425
4.740877,116.8332,96.76901
5.183635,111.6428,92.06325
5.696602,106.2141,86.9079
6.020205,100.5645,81.5918
6.294484,95.04254,76.12898
6.550032,89.54522,70.80063
7.067249,84.38557,65.66345
7.607132,79.522,60.83234
7.999272,75.14002,56.36713
8.483399,71.49959,52.30434
9.100471,68.31961,48.61385
9.723855,65.44324,45.40095
10.54847,63.13654,42.6186
11.37495,61.21023,40.41782
12.50006,59.61352,38.65528
13.92115,58.22129,36.92795
15.43674,57.21941,35.705
17.24239,56.47987,34.84852
19.26184,55.94318,34.07839
21.67051,55.56242,33.53292
24.47736,55.56144,33.03785
27.67189,55.50456,32.62145
31.58931,55.81053,32.44287
35.96396,56.08167,32.30998
40.95355,56.50859,32.28224
46.12794,56.88509,32.0506
51.64317,57.49744,32.11876
57.59286,58.08102,32.22625
63.7354,58.675,32.53894
69.85553,59.48709,32.97613
75.89359,60.60918,33.4138
81.78076,61.87123,33.91257
87.19453,63.28999,34.77872
91.76865,64.77722,35.86032
95.54222,66.51541,37.06924
98.08273,68.44077,38.41817
99.29156,70.93379,40.01809
99.06339,73.50601,41.7679
97.45181,76.5827,43.79186
94.50578,80.35114,46.20206
90.77435,84.55219,49.00358
86.22996,89.27572,52.27483
80.70927,94.08836,56.08153
74.90852,99.13455,60.42224
68.94247,104.1232,65.09576
62.84081,108.8567,69.98358
56.55688,113.0308,74.73541
50.46388,116.2941,79.28349
44.74711,118.6464,83.32462
39.44721,119.8885,86.79718
34.87772,120.0201,89.50018
30.95333,119.0767,90.8849
27.34794,117.1677,91.21837
24.55551,114.4963,90.62471
22.37551,111.1344,88.96341
20.65787,107.486,86.56859
19.16058,103.4364,83.48413
18.21872,99.25217,80.10751
17.438,95.06479,76.25354
16.86738,91.02586,72.40082
16.64213,87.09769,68.62865
16.57688,83.50077,64.61884
16.45852,79.97216,60.97211
16.46589,76.51838,57.47982
16.63826,73.38354,54.21675
16.67247,70.49535,51.32367
16.84927,67.66633,48.65129
17.22406,65.0034,46.38051
17.14243,62.60659,44.24355
17.43853,60.32756,42.4001
17.82478,58.20814,40.8184
17.96032,56.50294,39.34235
18.25215,54.73901,38.07253
18.41615,53.5236,37.10654
18.5258,52.55811,36.2623
18.76223,52.04327,35.52408
19.05353,51.98691,35.07314
19.16386,52.18163,34.89732
19.16387,52.67175,34.94744
19.28988,53.28979,35.17776
19.35769,54.08937,35.56184
19.3758,54.91118,36.0938
19.57454,55.58871,36.68335
19.62598,56.39258,37.48183
19.78218,56.73838,37.96084
20.18354,56.88752,38.34565
20.41926,56.84055,38.68565
20.65388,56.18138,38.72015
21.04916,55.21034,38.48694
21.33175,53.83817,38.06807
21.92436,52.29814,37.48841
22.47783,50.69322,36.87706
23.19967,49.12489,36.2618
24.00547,47.78646,35.66546
24.92137,46.52512,35.12283
26.07762,45.37885,34.60471
27.05424,44.63908,34.24208
28.35841,43.94719,33.96119
29.94373,43.59718,33.81392
31.9086,43.4668,33.7967
34.26385,43.63353,33.88074
36.98215,44.12736,34.1468
40.44484,44.72102,34.51545
44.49338,45.53257,34.92789
49.04794,46.43491,35.56081
54.35099,47.70455,36.08202
60.32379,49.1487,36.97101
67.59665,50.70898,38.11357
76.28723,52.139,39.15725
86.51976,53.50585,40.21943
97.90131,54.37265,41.32404
110.6739,54.87498,42.39085
125.2747,54.82461,42.98154
140.65,54.2401,43.45861
156.6973,53.11031,43.59829
174.3146,51.73254,43.43795
192.1764,49.97539,43.1935
210.3529,48.21534,42.776
229.0379,46.28687,41.90543
247.1249,44.44274,41.06526
263.5541,42.65629,40.21521
278.7838,41.32244,39.2928
292.334,40.20104,38.20623
303.5136,39.20637,37.36561
312.692,38.54654,36.45797
320.2479,38.02898,35.76935
324.4709,37.70916,35.07077
325.13,37.57911,34.56276
321.8196,37.35457,34.0171
314.2173,37.1922,33.60992
301.6001,37.00204,33.18813
285.5716,36.70222,32.87382
