EL1: Electronic Ladder,A1: 4Wk,B1: 8Wk,C1: 12Wk,D1: 16Wk,E1: 20Wk,F1: 24Wk,G1: 28Wk,H1: 32Wk,A2: 36Wk,B2: 40Wk,C2: 44Wk,D2: 48Wk,E2: 52Wk
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02077436,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003890991,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004443645,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001514435,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01468706,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04919553,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07778025,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06287456,0,0,0,0,0,0,0,0,0,0,0,0,0
0.143337,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3017426,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3133645,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5862446,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6384296,0,0,0,0,0,0,0,0,0,0,0,0,0
0.623435,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7074766,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7385635,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6728959,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53194,0,0,0,0,0,0,0,0,0,0,0,0,0
0.603312,0,0,0,0,0,0,0,0,0,0,0,0,0
0.523931,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4217887,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5978866,0,0,0,0,0,0,0,0,0,0,0,0,0
