EL1: Electronic Ladder,A1: 40Wk,B1: 44Wk,C1: 48Wk
0,0,0,0
0.02077436,0,0,0
0.003890991,0,0,0
0.004443645,0,0,0
0,0,0,0
0.001514435,0,0,0
0,0,0,0
0,0,0,0
0.01468706,0,0,0
0,0,0,0
0,0,0,0
0.04919553,0,0,0
0.07778025,0,0,0
0.06287456,0,0,0
0.143337,0,0,0
0.3017426,0,0,0
0.3133645,0,0,0
0.5862446,0,0,0
0.6384296,0,0,0
0.623435,0,0,0
0.7074766,0,0,0
0.7385635,0,0,0
0.6728959,0,0,0
0.53194,0,0,0
0.603312,0,0,0
0.523931,0,0,0
0.4217887,0,0,0
0.5978866,0,0,0
0.5986304,0,0,0
0.463788,0,0,0
0.5425901,0,0,0
0.5230641,0,0,0
0.4018135,0,0,0
0.447835,0,0,0
0.4380507,0,0,0
0.3837314,0,0,0
0.4111743,0,0,0
0.4198155,0,0,0
0.2100549,0,0,0
0.1311512,0,0,0
0.1020811,0,0,0
0.002857685,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.08973789,0,0,0
0.1419425,0,0,0
0.0909667,0,0,0
0.1482263,0.1057673,0,0.1522861
0.2121367,0.2405896,0,0.2108722
0.01945496,0.2533107,0,0.2843213
0,0.418674,0.08011675,0.4173059
0,0.4313579,0.1616373,0.3380895
0,0.4948421,0.2979636,0.1471753
0.08420372,0.4167199,0.375525,0.1261954
0.03852177,0.4055338,0.3167825,0.1813483
0.1143756,0.3845873,0.3794475,0.1096544
0.2220144,0.3555126,0.2424588,0.09867382
0.4593344,0.3050051,0.2140379,0.1078734
0.3339543,0.3441243,0.07878876,0.1185088
0.2182727,0.2001495,0,0.2521787
0.2291179,0.1540051,0.0743413,0.41401
0.2393465,0.1591535,0.08118677,0.2924294
0.2078538,0.2495298,0.1969471,0.152792
0.1527991,0.1822863,0.148479,0.1292024
0,0.1166015,0.2064967,0.06134033
0.02681494,0.09003448,0.2829375,0
0,0.01400137,0.2432923,0
0,0.02301216,0.2592292,0.0149827
0,0.07503128,0.1727271,0.05578804
0.004436493,0.004573345,0.2112246,0.1321597
0.1063318,0,0.2474723,0.1680479
0.03486204,0,0.2201762,0.1500406
0.07004738,0.0267992,0.2923136,0.1484284
0.1939974,0.06837606,0.294498,0.2184396
0.2114682,0.1473155,0.3680778,0.2262559
0.3254375,0.2289233,0.3920035,0.2217731
0.3272204,0.2168946,0.3526726,0.2307377
0.3582625,0.3062172,0.291544,0.2007656
0.6224704,0.4049416,0.150774,0.1810474
0.6738214,0.4139876,0.1779857,0.1029267
0.6119556,0.2967176,0.1724749,0
0.3347888,0.2516403,0.1694331,0
0.1531692,0.2359309,0.2386131,0.02466536
0.07856035,0.1611376,0.354321,0.06145954
0.02700949,0.1641068,0.3871279,0.07223606
0,0.1688771,0.3495607,0.09680986
0,0.1126804,0.362412,0.1225858
0,0.1210055,0.406817,0.1073284
0,0.145452,0.3239961,0.1436071
0.04109764,0.2837925,0.3072729,0.1684103
0,0.2299991,0.1708984,0.1603284
0.02638292,0.296968,0.04967165,0.2323704
0.06229401,0.4347715,0,0.3294148
0.04121494,0.4208188,0,0.360302
