EL1: Electronic Ladder,A1: 52Wk
0,0
0.02077436,0
0.003890991,0
0.004443645,0
0,0
0.001514435,0
0,0
0,0
0.01468706,0
0,0
0,0
0.04919553,0
0.07778025,0
0.06287456,0
0.143337,0
0.3017426,0
0.3133645,0
0.5862446,0
0.6384296,0
0.623435,0
0.7074766,0
0.7385635,0
0.6728959,0
0.53194,0
0.603312,0
0.523931,0
0.4217887,0
0.5978866,0
0.5986304,0
0.463788,0
0.5425901,0
0.5230641,0
0.4018135,0
0.447835,0
0.4380507,0
0.3837314,0
0.4111743,0
0.4198155,0
0.2100549,0
0.1311512,0
0.1020811,0
0.002857685,0
0,0
0,0
0,0
0.08973789,0
0.1419425,0
0.0909667,0
0.1482263,0
0.2121367,0.02232313
0.01945496,0.128788
0,0.2328591
0,0.2627387
0,0.2705827
0.08420372,0.3392239
0.03852177,0.4507785
0.1143756,0.4504571
0.2220144,0.4300857
0.4593344,0.4596868
0.3339543,0.4011636
0.2182727,0.3960366
0.2291179,0.3524952
0.2393465,0.2436748
0.2078538,0.2019558
0.1527991,0.2351446
0,0.2722964
0.02681494,0.2874985
0,0.3064089
0,0.3481197
0,0.3796091
0.004436493,0.3840704
0.1063318,0.2765484
0.03486204,0.224503
0.07004738,0.157896
0.1939974,0.1103187
0.2114682,0
0.3254375,0
0.3272204,0.002267361
0.3582625,0.06304836
0.6224704,0.1115451
0.6738214,0.149322
0.6119556,0.1976666
0.3347888,0.3601174
0.1531692,0.38867
0.07856035,0.3593678
0.02700949,0.3726821
0,0.3921304
0,0.3056884
0,0.29105
0,0.2168312
0.04109764,0.2413154
0,0.2635169
0.02638292,0.3262334
0.06229401,0.3314056
0.04121494,0.3449206
0,0.3615003
0,0.2427969
0,0.2312126
0,0.2836027
0,0.2420282
0,0.3666406
0,0.4043698
0,0.5042543
0,0.527956
0,0.4708743
0,0.3693991
0.3040228,0.2159657
1.405515,0.2001295
2.834507,0.1119666
4.043449,0.01702404
5.409372,0
7.060751,0
9.01142,0.05118275
11.38547,0.07862616
14.12005,0.08807898
17.26014,0.1617184
20.97051,0.1163878
25.3254,0.1592917
30.42628,0.092309
36.0128,0.07218695
42.3921,0.01583481
49.75721,0
58.11675,0
67.09781,0
76.59318,0.04292488
86.53235,0.187089
96.71154,0.2307615
107.3292,0.2862043
118.0085,0.266407
128.5506,0.2016582
138.9781,0.1242156
148.6813,0.0318532
158.0438,0.006131649
165.8421,0
172.4071,0
177.1938,0.01010895
180.721,0.08836937
182.7976,0.1268497
184.0034,0.1406703
183.7612,0.1346002
182.0963,0.1364894
179.2551,0.1745954
175.4089,0.1545033
169.8648,0.128696
163.6694,0.06983423
156.3133,0
148.2467,0
139.6879,0.02467871
131.4263,0
122.399,0
113.4277,0
104.7552,0.03536415
96.02428,0
87.56607,0.00891161
79.93262,0
72.51277,0.005746841
65.42696,0
58.7887,0.03369713
53.03083,0
47.41869,0.009843826
42.51573,0.07466269
38.00323,0.10324
34.11943,0.1164017
30.83343,0.1963892
28.08009,0.1209865
25.57552,0.04551315
23.51604,0
21.80286,0.07120562
20.47512,0
19.14278,0
18.04222,0
16.84309,0
16.03548,0
15.28468,0.02858829
14.43121,0
13.87171,0
13.48894,0
13.46001,0
13.14586,0
12.79887,0
12.60898,0
12.22836,0
11.97549,0
11.68075,0
11.16488,0
10.84782,0
10.45394,0
10.1925,0
9.845958,0
9.430903,0
9.227633,0
8.951421,0
8.649407,0
8.43328,0
8.136649,1.09189
7.748421,2.351233
7.452363,3.694437
7.086936,5.141464
6.854991,6.652769
6.527324,8.253159
6.17592,9.897287
5.929846,11.69723
5.731161,13.45725
5.530811,15.36765
5.314283,17.24926
5.039759,19.28052
4.879637,21.34962
4.533747,23.3938
4.246821,25.70901
3.987095,28.04148
3.707324,30.50665
3.459528,33.01498
3.27951,35.48778
3.214552,38.15074
3.010284,40.717
3.008267,43.49219
2.798151,46.30709
2.634225,49.27953
2.382677,52.51909
2.227367,55.50911
2.095788,58.58389
1.843846,61.8112
1.697485,64.98222
1.858475,68.25467
1.811575,71.53098
1.964374,75.14879
1.901066,78.69483
1.778781,82.49232
1.556797,86.38018
1.403651,90.18432
1.308333,94.40576
1.10693,98.67085
1.049143,103.0403
1.241197,107.576
1.354727,112.3284
1.502384,117.1738
1.519122,122.0176
1.324928,127.3546
1.076735,132.7042
0.9952097,138.5931
0.8940001,144.5784
0.725214,150.7301
0.6926012,157.579
0.6888208,164.5164
0.7387056,171.523
0.8532467,178.6643
0.7408857,186.5906
0.7472887,195.7062
0.8692646,204.9102
1.168772,214.8013
1.190784,225.0903
1.200372,236.359
1.114477,248.5701
0.9727325,261.1803
0.8234692,274.5359
0.8036432,288.3673
0.7431259,303.4104
0.7612772,319.4507
1.037474,336.1876
1.257266,353.2752
1.272376,370.1869
1.354032,388.0047
1.327152,406.1201
1.441128,424.6827
1.437162,442.3976
1.53565,455.7757
1.483832,468.398
1.313531,477.7262
1.350208,484.5762
1.262451,489.5479
1.230331,489.6564
1.182846,489.8976
1.293417,488.8744
1.43209,486.9868
1.565934,485.0254
1.778693,481.2192
1.832576,478.3199
1.958308,476.2415
2.013226,475.2826
1.900956,475.7988
1.976776,476.024
1.942533,476.9589
2.064632,478.3384
2.001075,479.3966
2.192392,480.1005
2.310712,481.1797
2.362311,480.131
2.456297,479.1727
2.468528,478.8649
2.466484,477.133
2.562199,475.998
2.688143,474.9331
2.760905,476.1367
2.684251,477.5644
2.796084,478.4123
2.842338,480.5943
2.957272,480.9131
3.109657,480.1204
3.35411,479.6953
3.562705,477.0871
3.711011,474.6862
3.779229,472.9168
3.873752,469.1282
3.97186,465.3644
4.120864,460.2204
4.407995,455.1349
4.740877,449.8109
5.183635,443.2145
5.696602,436.0811
6.020205,429.2918
6.294484,421.8879
6.550032,414.5502
7.067249,406.3911
7.607132,399.6836
7.999272,392.781
8.483399,386.3521
9.100471,380.2776
9.723855,374.7264
10.54847,369.4263
11.37495,364.9029
12.50006,359.9059
13.92115,356.484
15.43674,353.6575
17.24239,351.5536
19.26184,349.7184
21.67051,347.3326
24.47736,345.3775
27.67189,343.3225
31.58931,340.9427
35.96396,339.1024
40.95355,334.9296
46.12794,331.1413
51.64317,326.8002
57.59286,322.0338
63.7354,317.1501
69.85553,311.9034
75.89359,306.2087
81.78076,299.977
87.19453,293.8819
91.76865,288.1299
95.54222,280.471
98.08273,273.4912
99.29156,266.6098
99.06339,259.1106
97.45181,251.9066
94.50578,245.4618
90.77435,238.6986
86.22996,232.5605
80.70927,227.0235
74.90852,221.823
68.94247,216.408
62.84081,211.3791
56.55688,207.0029
50.46388,202.4782
44.74711,198.0226
39.44721,193.9223
34.87772,189.271
30.95333,185.0096
27.34794,181.0372
24.55551,176.9123
22.37551,172.4923
20.65787,168.1894
19.16058,164.3509
18.21872,160.3897
17.438,156.3697
16.86738,152.3125
16.64213,147.9365
16.57688,143.7406
16.45852,139.738
16.46589,135.7375
16.63826,131.693
16.67247,127.7985
16.84927,124.0539
17.22406,120.4089
17.14243,116.9793
17.43853,113.6275
17.82478,110.2728
17.96032,107.1413
18.25215,104.3066
18.41615,101.4497
18.5258,98.84169
18.76223,96.37949
19.05353,94.02872
19.16386,91.8595
