EL1: Electronic Ladder,A1: 4Wk_frozen,B1: 8Wk_frozen,C1: 12Wk_frozen,D1: 16Wk_frozen,E1: 20Wk_frozen,F1: 24Wk_frozen,G1: 36Wk_frozen,H1: 48Wk_frozen,A2: 60Wk_frozen
0,0,0,0,0,0,0,0,0,0
0.02077436,0,0,0,0,0,0,0,0,0
0.003890991,0,0,0,0,0,0,0,0,0
0.004443645,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.001514435,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.01468706,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.04919553,0,0,0,0,0,0,0,0,0
0.07778025,0,0,0,0,0,0,0,0,0
0.06287456,0,0,0,0,0,0,0,0,0
0.143337,0,0,0,0,0,0,0,0,0
0.3017426,0,0,0,0,0,0,0,0,0
0.3133645,0,0,0,0,0,0,0,0,0
0.5862446,0,0,0,0,0,0,0,0,0
0.6384296,0,0,0,0,0,0,0,0,0
0.623435,0,0,0,0,0,0,0,0,0
0.7074766,0,0,0,0,0,0,0,0,0
0.7385635,0,0,0,0,0,0,0,0,0
0.6728959,0,0,0,0,0,0,0,0,0
0.53194,0,0,0,0,0,0,0,0,0
0.603312,0,0,0,0,0,0,0,0,0
0.523931,0,0,0,0,0,0,0,0,0
0.4217887,0,0,0,0,0,0,0,0,0
0.5978866,0,0,0,0,0,0,0,0,0
0.5986304,0,0,0,0,0,0,0,0,0
0.463788,0,0,0,0,0,0,0,0,0
0.5425901,0,0,0,0,0,0,0,0,0
0.5230641,0,0,0,0,0,0,0,0,0
0.4018135,0,0,0,0,0,0,0,0,0
0.447835,0,0,0,0,0,0,0,0,0
0.4380507,0,0,0,0,0,0,0,0,0
0.3837314,0,0,0,0,0,0,0,0,0
0.4111743,0,0,0,0,0,0,0,0,0
0.4198155,0,0,0,0,0,0,0,0,0
0.2100549,0,0,0,0,0,0,0,0,0
0.1311512,0,0,0,0,0,0,0,0,0
0.1020811,0,0,0,0,0,0,0,0,0
0.002857685,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.08973789,0,0,0,0,0,0,0,0,0
0.1419425,0,0,0,0,0,0,0,0,0
0.0909667,0,0,0,0,0,0,0,0,0
0.1482263,0,0.07448721,0,0.08920574,0.05919504,0.05064964,0,0,0
0.2121367,0,0.06152058,0,0.1338859,0.04692078,0.05578852,0.03353119,0,0
0.01945496,0,0.05142593,0,0.1516891,0.03284931,0.06892633,0.1089816,0,0
0,0,0.0526619,0,0.1541715,0.01785517,0.08446217,0.2228093,0,0.1086092
