EL1: Electronic Ladder,A1: 72WkDry_F_1,B1: 72WkFrozen_F_1
0,0,0
0.02077436,0,0
0.003890991,0,0
0.004443645,0,0
0,0,0
0.001514435,0,0
0,0,0
0,0,0
0.01468706,0,0
0,0,0
0,0,0
0.04919553,0,0
0.07778025,0,0
0.06287456,0,0
0.143337,0,0
0.3017426,0,0
0.3133645,0,0
0.5862446,0,0
0.6384296,0,0
0.623435,0,0
0.7074766,0,0
0.7385635,0,0
0.6728959,0,0
0.53194,0,0
0.603312,0,0
0.523931,0,0
0.4217887,0,0
0.5978866,0,0
0.5986304,0,0
0.463788,0,0
0.5425901,0,0
0.5230641,0,0
0.4018135,0,0
0.447835,0,0
0.4380507,0,0
0.3837314,0,0
0.4111743,0,0
0.4198155,0,0
0.2100549,0,0
0.1311512,0,0
0.1020811,0,0
0.002857685,0,0
0,0,0
0,0,0
0,0,0
0.08973789,0,0
0.1419425,0,0
0.0909667,0,0
0.1482263,0.05067921,0.01936436
0.2121367,0.1039481,0.0960784
0.01945496,0.1595416,0.1525102
0,0.06893444,0.09463835
0,0,0.09551382
0,0,0.00929451
0.08420372,0,0
0.03852177,0,0.1167488
0.1143756,0.1263433,0.03249359
0.2220144,0.07832527,0.1079216
0.4593344,0.1211519,0.1114774
0.3339543,0.249228,0.296102
0.2182727,0.405324,0.3518515
0.2291179,0.5184059,0.3038154
0.2393465,0.6199341,0.3526907
0.2078538,0.575954,0.2246141
0.1527991,0.5354614,0.2613096
0,0.4719925,0.174777
0.02681494,0.4034214,0
0,0.220664,0
0,0.08484697,0.03910303
0,0.04875183,0.09216166
0.004436493,0.09437227,0.1972027
0.1063318,0.262219,0.315237
0.03486204,0.3849225,0.3456383
0.07004738,0.3742275,0.329915
0.1939974,0.4949141,0.332273
0.2114682,0.4726877,0.1947241
0.3254375,0.3651471,0.1133008
0.3272204,0.298183,0.05545235
0.3582625,0.1153502,0.05724764
0.6224704,0.02611637,0.01633835
0.6738214,0.03680468,0.1923318
0.6119556,0.08974314,0.235888
0.3347888,0.1413388,0.2452259
0.1531692,0.2639503,0.2752342
0.07856035,0.4160337,0.2916918
0.02700949,0.404963,0.2694302
0,0.410903,0.182138
0,0.354928,0.0264163
0,0.1755381,0
0,0.1587934,0.03795338
0.04109764,0.1510544,0.04656076
0,0.05056,0.01649523
0.02638292,0.001937389,0
0.06229401,0.07539272,0.0001535416
0.04121494,0.09256792,0.03337383
0,0.1245174,0.04711294
0,0.1791925,0.0689373
0,0.1309767,0.03210211
0,0.07195854,0.03922176
0,0.1010642,0.1102839
0,0.1052642,0.08319807
0,0.0731349,0.09506226
0,0.05838346,0
0,0.09294987,0.07080126
0,0.1216035,0.04055977
0,0.1254497,0.09360313
0.3040228,0.1781745,0.1129928
1.405515,0.1982951,0.1004052
2.834507,0.2429261,0.1203647
4.043449,0.2012668,0.1729789
5.409372,0.1016979,0.2226987
7.060751,0.06324196,0.2906461
9.01142,0,0.3084488
11.38547,0,0.4025178
14.12005,0,0.4447255
17.26014,0,0.4968176
20.97051,0,0.4806609
25.3254,0,0.3372817
30.42628,0,0.2244768
36.0128,0,0.09126234
42.3921,0,0.05501652
49.75721,0.1166997,0.02849293
58.11675,0.1627288,0.01991129
67.09781,0.1768038,0.04982281
76.59318,0.1756489,0.1972604
86.53235,0.1985595,0.2691083
96.71154,0.1665735,0.2835803
107.3292,0.2376158,0.2515855
118.0085,0.3061197,0.3193145
128.5506,0.3303373,0.2823577
138.9781,0.3302209,0.3034301
148.6813,0.281287,0.2712736
158.0438,0.2747676,0.2458344
165.8421,0.3018816,0.2790489
172.4071,0.2922761,0.2879148
177.1938,0.2862799,0.1878467
180.721,0.2128093,0.1059408
182.7976,0.2916553,0.1260867
184.0034,0.2081449,0.1562047
183.7612,0.1834934,0.1355929
182.0963,0.07199168,0.2604842
179.2551,0,0.2677102
175.4089,0.06095934,0.2693887
169.8648,0.07941604,0.3544312
163.6694,0.09263253,0.3424153
156.3133,0.07621908,0.2121472
148.2467,0.009177923,0.1518846
139.6879,0.01403737,0.09027576
131.4263,0.04072905,0.1791363
122.399,0.05330992,0.2428503
113.4277,0.04801059,0.2568612
104.7552,0.08633471,0.3400826
96.02428,0.2099202,0.3297281
87.56607,0.2684472,0.3077254
79.93262,0.3450162,0.3252101
72.51277,0.4044597,0.2718596
65.42696,0.3345249,0.279211
58.7887,0.2750943,0.273231
53.03083,0.2713077,0.2245965
47.41869,0.2401416,0.1439033
42.51573,0.247329,0.05700636
38.00323,0.2632992,0.1667089
34.11943,0.2050416,0.1076097
30.83343,0.178745,0
28.08009,0.1751258,0
25.57552,0.151325,0
23.51604,0.03114676,0.1395292
21.80286,0.0002045631,0.1636724
20.47512,0,0.09882879
19.14278,0,0.1182098
18.04222,0,0.1110511
16.84309,0.04706645,0.1137986
16.03548,0.08210588,0.09987211
15.28468,0.1717641,0.05910158
14.43121,0.2659924,0.02058458
13.87171,0.3434145,0.03801394
13.48894,0.2511609,0.1156559
13.46001,0.2407877,0
13.14586,0.1218369,0
12.79887,0.02007055,0.004989147
12.60898,0,0.003796101
12.22836,0.01054215,0
11.97549,0.03582144,0
11.68075,0.05572557,0.01273441
11.16488,0.1056914,0.00545311
10.84782,0.1512156,0
10.45394,0.05461979,0.03086853
10.1925,0.06922674,0
9.845958,0,0
9.430903,0.003609657,0
9.227633,0,0
8.951421,0,0.006488323
8.649407,0,0.06499481
8.43328,0,0.1161494
8.136649,0,0.07570171
7.748421,0,0.02130604
7.452363,0,0.09590054
7.086936,0,0.08397341
6.854991,0.0004706383,0.001085758
6.527324,0.04201317,0
6.17592,0,0
5.929846,0,0
5.731161,0,0
5.530811,0,0
5.314283,0,0
5.039759,0,0.03968334
4.879637,0,0.1028919
4.533747,0,0.03145599
4.246821,0,0.03358316
3.987095,0,0.002997398
3.707324,0,0
3.459528,0,0
3.27951,0,0
3.214552,0,0
3.010284,0,0.02473259
3.008267,0,0.01191187
2.798151,0,0
2.634225,0,0
2.382677,0,0.01411629
2.227367,0,0
2.095788,0,0
1.843846,0,0
1.697485,0,0
1.858475,0,0
1.811575,0,0
1.964374,0,0
1.901066,1.352274,0
1.778781,3.538042,0
1.556797,5.865627,0
1.403651,8.232443,0
1.308333,10.78033,0
1.10693,13.41256,0
1.049143,16.16102,0
1.241197,19.0662,0
1.354727,22.18256,0
1.502384,25.17484,0
1.519122,28.53843,0
1.324928,32.18152,0
1.076735,35.84621,0
0.9952097,39.6806,0
0.8940001,43.66581,0
0.725214,47.80138,0
0.6926012,52.26717,0
0.6888208,56.8492,0
0.7387056,61.41685,0.3109245
0.8532467,66.3446,2.550522
0.7408857,71.69372,4.887135
0.7472887,77.35022,7.42675
0.8692646,83.07155,10.11223
1.168772,89.16342,12.85576
1.190784,95.59548,15.82157
1.200372,102.2749,18.89235
1.114477,109.4123,22.04118
0.9727325,116.5256,25.1286
0.8234692,123.7939,28.32201
0.8036432,131.8874,31.67119
0.7431259,140.0039,35.1058
0.7612772,148.4406,38.73519
1.037474,157.2082,42.51199
1.257266,166.859,46.47216
1.272376,176.7297,50.54519
1.354032,187.4688,54.54909
1.327152,197.8132,58.76888
1.441128,208.6264,63.09933
1.437162,219.8591,67.60558
1.53565,232.1664,72.32606
1.483832,244.1344,77.16819
1.313531,256.1055,82.24091
1.350208,268.338,87.38653
1.262451,280.7971,92.78332
1.230331,291.4016,98.03255
1.182846,302.3492,103.6839
1.293417,310.6624,109.5437
1.43209,317.6106,115.6097
1.565934,322.4927,122.0986
1.778693,324.5544,128.4234
1.832576,323.0504,134.9151
1.958308,318.2061,141.9369
2.013226,309.3465,148.8537
1.900956,296.9148,156.1255
1.976776,280.2894,163.733
1.942533,262.1533,171.8651
2.064632,241.4546,180.1866
2.001075,220.0403,188.6268
2.192392,198.8327,197.7087
2.310712,178.1882,206.8911
2.362311,159.2925,216.4306
2.456297,142.5242,225.6523
2.468528,127.7281,235.2344
2.466484,115.5042,245.1972
2.562199,105.4721,255.3027
2.688143,97.76612,265.8605
2.760905,92.00836,276.4492
2.684251,88.09234,288.0996
2.796084,85.72625,299.4696
2.842338,84.58965,311.4927
2.957272,84.71681,324.8871
3.109657,85.75211,338.1354
3.35411,87.81441,351.7306
3.562705,90.45271,366.1613
3.711011,93.80152,380.753
3.779229,97.52275,394.4955
3.873752,101.4583,410.5904
3.97186,105.4182,426.2155
4.120864,109.0102,441.6436
4.407995,112.1114,459.004
4.740877,114.8534,476.8128
5.183635,116.782,494.507
5.696602,117.9184,509.8138
6.020205,118.2048,525.7546
6.294484,117.8066,538.7964
6.550032,116.3006,547.5605
7.067249,114.2251,554.1575
7.607132,111.4738,555.99
7.999272,108.0176,553.4303
8.483399,104.0196,547.0789
9.100471,99.77632,530.9445
9.723855,95.19581,510.8786
10.54847,90.36572,484.046
11.37495,85.50853,453.316
12.50006,80.83286,418.4728
13.92115,76.00639,381.2959
15.43674,71.65472,344.0563
17.24239,67.64265,309.8568
19.26184,63.94383,277.3933
21.67051,60.54401,249.2754
24.47736,57.71957,223.0286
27.67189,55.28314,204.6897
31.58931,53.3063,191.5519
35.96396,51.78789,184.3877
40.95355,50.89498,183.9052
46.12794,50.46812,189.4436
51.64317,50.66037,199.983
57.59286,51.30421,216.0665
63.7354,52.44901,236.1956
69.85553,53.92067,258.4487
75.89359,55.93253,284.0228
81.78076,58.22437,313.7892
87.19453,60.85249,344.3423
91.76865,63.6484,377.4502
95.54222,66.4033,410.4038
98.08273,68.96579,443.0275
99.29156,71.2214,475.5744
99.06339,72.68875,505.602
97.45181,73.52281,533.3121
94.50578,73.50304,557.0909
90.77435,72.96187,577.3933
86.22996,71.65415,594.3837
80.70927,69.8722,604.7429
74.90852,67.57819,610.0685
68.94247,64.91378,608.469
62.84081,62.11317,599.7852
56.55688,59.13692,587.3287
50.46388,55.97034,568.3613
44.74711,52.86985,547.7277
39.44721,49.97633,523.0618
34.87772,47.42381,496.0371
30.95333,45.01168,467.8863
27.34794,43.06156,438.8352
24.55551,41.37519,409.4733
22.37551,40.13248,380.2062
20.65787,39.10679,351.1357
19.16058,38.25171,325.0098
18.21872,37.44535,300.2393
17.438,36.63264,278.2031
16.86738,35.82937,256.7263
16.64213,35.08484,237.8348
16.57688,34.24876,220.5807
16.45852,33.41177,205.5714
16.46589,32.51764,192.7784
16.63826,31.88326,181.7391
16.67247,31.19733,172.8706
16.84927,30.57912,165.6699
17.22406,30.00354,159.6211
17.14243,29.53656,154.5092
17.43853,29.16343,149.6394
17.82478,28.97217,144.9041
17.96032,28.78309,140.1633
18.25215,28.59166,135.2882
18.41615,28.76935,130.1128
18.5258,29.09658,124.5465
18.76223,29.41355,118.7838
19.05353,29.75978,112.9662
19.16386,30.32684,107.2017
19.16387,30.76405,101.7412
19.28988,31.25667,96.2055
19.35769,31.72088,90.97189
19.3758,32.29099,86.3445
19.57454,32.75276,82.1851
19.62598,33.31228,78.27298
19.78218,33.82774,74.7058
20.18354,34.29641,71.53687
20.41926,34.68121,68.82207
20.65388,35.1205,66.59821
21.04916,35.3735,64.4277
21.33175,35.61382,62.39673
21.92436,35.78732,60.53332
22.47783,35.81772,58.95877
23.19967,35.78217,57.53551
24.00547,35.47298,56.08821
24.92137,35.27199,54.8644
26.07762,34.77969,53.80145
27.05424,34.18252,52.82044
28.35841,33.49,52.05558
29.94373,32.762,51.16647
31.9086,32.11723,50.44134
34.26385,31.7074,49.91309
36.98215,31.14809,49.56116
40.44484,30.91366,49.4334
44.49338,30.5301,49.50257
49.04794,30.46166,49.67034
54.35099,30.30392,50.11634
60.32379,30.22347,50.76268
67.59665,29.98837,51.98844
76.28723,29.7339,53.35629
86.51976,29.66554,54.98992
97.90131,29.62027,56.67394
110.6739,29.24435,58.41795
125.2747,29.09258,60.1356
140.65,28.69757,61.97748
156.6973,28.42851,63.42947
174.3146,28.10351,64.72583
192.1764,27.84199,65.5044
210.3529,27.37019,66.08881
229.0379,27.00891,66.07262
247.1249,26.68714,65.48531
263.5541,26.22511,64.33867
278.7838,25.81433,62.74412
292.334,25.54756,60.90182
303.5136,25.33299,58.99956
