EL1: Electronic Ladder,A1: 4WkFrozen,B1: 8WkFrozen,C1: 12WkFrozen,D1: 16WkFrozen,E1: 20WkFrozen,F1: 24WkFrozen,G1: 28WkFrozen,H1: 32WkFrozen,A2: 36WkFrozen,B2: 40WkFrozen,C2: 44WkFrozen,D2: 48WkFrozen,E2: 52WkFrozen
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02077436,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003890991,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004443645,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001514435,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01468706,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04919553,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07778025,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06287456,0,0,0,0,0,0,0,0,0,0,0,0,0
0.143337,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3017426,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3133645,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5862446,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6384296,0,0,0,0,0,0,0,0,0,0,0,0,0
0.623435,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7074766,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7385635,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6728959,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53194,0,0,0,0,0,0,0,0,0,0,0,0,0
0.603312,0,0,0,0,0,0,0,0,0,0,0,0,0
0.523931,0,0,0,0,0,0,0,0,0,0,0,0,0
