EL1: Electronic Ladder,A1: 4WkDry_F_2,B1: 4Wk_Dry_F_3,C1: 8WkDry_F_2,D1: 8WkDry_F_3,E1: 12WkDry_F_2,F1: 12WkDry_F_3,G1: 16WkDry_F_2,H1: 16WkDry_F_3,A2: 20WkDry_F_2,B2: 20WkDry_F_3,C2: 24WkDry_F_2,D2: 24WkDry_F_3,E2: 36WkDry_F_2,F2: 36WkDry_F_3,G2: 48WkDry_F_2,H2: 48WkDry_F_3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02077436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003890991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004443645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001514435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01468706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04919553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07778025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06287456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.143337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3017426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3133645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5862446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6384296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.623435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7074766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7385635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6728959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.603312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.523931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4217887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5978866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5986304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.463788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5425901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
