EL1: Electronic Ladder,A1: 4WkDry_F_2,B1: 4WkDry_F_3,C1: 8WkDry_F_2,D1: 8WkDry_F_3,E1: 12WkDry_F_2,F1: 12WkDry_F_3,G1: 16WkDry_F_2,H1: 16WkDry_F_3,A2: 20WkDry_F_2,B2: 20WkDry_F_3,C2: 24WkDry_F_2,D2: 24WkDry_F_3,E2: 28WkDry_F_2,F2: 28WkDry_F_3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02077436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003890991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004443645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001514435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01468706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04919553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07778025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06287456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.143337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3017426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3133645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5862446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6384296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.623435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7074766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7385635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6728959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.603312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.523931,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4217887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5978866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5986304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.463788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5425901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5230641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4018135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.447835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4380507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3837314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4111743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4198155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2100549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1311512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1020811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002857685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08973789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1419425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0909667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1482263,0.03828335,0,0,0.05504513,0,0,0,0,0.07056689,0,0.0090909,0,0.07370305,0
0.2121367,0.1180902,0.01694059,0,0.05438328,0.02035284,0,0,0,0.1207786,0.02437878,0.145627,0,0.1408978,0.04595804
0.01945496,0.1878443,0.01420736,0.1248169,0,0,0,0,0,0.1636596,0.0917635,0.2706618,0.07100821,0.1839166,0.1673203
0,0.2016835,0.04344606,0.2367477,0,0,0,0,0,0.2187262,0.2024527,0.375133,0.1773582,0.1441205,0.202529
