EL1: Electronic Ladder,A1: 4WkFrozen_F_2,B1: 4WkFrozen_F_3,C1: 8WkFrozen_F_2,D1: 8WkFrozen_F_3,E1: 12WkFrozen_F_2,F1: 12WkFrozen_F_3,G1: 16WkFrozen_F_2,H1: 16WkFrozen_F_3,A2: 20WkFrozen_F_2,B2: 20WkFrozen_F_3,C2: 24WkFrozen_F_2,D2: 24WkFrozen_F_3,E2: 28WkFrozen_F_2,F2: 28WkFrozen_F_3,G2: 20WkDry_F_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02077436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003890991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004443645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001514435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01468706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04919553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07778025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06287456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.143337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3017426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3133645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5862446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6384296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.623435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7074766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7385635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6728959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.603312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.523931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4217887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5978866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5986304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.463788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5425901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5230641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4018135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.447835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4380507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3837314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4111743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4198155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2100549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1311512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1020811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002857685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08973789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1419425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0909667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1482263,0,0.004060507,0,0.001764059,0,0,0,0.01053905,0.003032207,0,0,0,0.02275467,0,0
0.2121367,0.008858681,0,0,0,0,0,0,0,0.02548981,0,0,0,0.005468845,0.01522493,0
0.01945496,0,0.07760048,0,0,0,0,0,0,0.1034703,0,0,0,0,0.02205086,0
0,0.05954599,0.1131747,0,0.03523946,0,0,0.004068375,0,0.1590748,0,0,0,0,0.0601263,0
0,0.05759096,0.0871253,0,0.05885696,0,0,0,0.002901077,0.2013688,0,0.02035332,0.01306438,0.0002002716,0.03155756,0
0,0.07847071,0.1158826,0.08721685,0.03184652,0,0,0.04626751,0.04482365,0.2865076,0.06340122,0.08832407,0.08433819,0.01634836,0.04643154,0
0.08420372,0.03038454,0.0128839,0.06990767,0.1159267,0,0,0,0,0.3260069,0.06827545,0.1687455,0.07123804,0,0,0
0.03852177,0.06217909,0,0.07593298,0.2461312,0,0,0,0,0.4421382,0.03622437,0.2716503,0.0751977,0.02156782,0,0.02511406
0.1143756,0.1382995,0,0.0811367,0.3447528,0,0,0.08448029,0,0.4068246,0.08842182,0.2290463,0.162775,0.09495735,0.01038551,0.04112124
0.2220144,0.1589999,0.07086873,0.07471657,0.2852032,0.02680445,0,0.05461931,0,0.2774062,0.05267048,0.1859336,0.2035055,0.1822438,0,0.08929706
0.4593344,0.1607051,0.09748936,0.1131172,0.2528541,0.06415272,0,0.09716415,0.05532169,0.2048306,0.04030371,0.152832,0.1582575,0.2091336,0,0.2316582
0.3339543,0.1038704,0.05554581,0.1209779,0.06189251,0.1270013,0,0.1467648,0.02723837,0.1462846,0.09599161,0.1509442,0.1604939,0.1669121,0,0.1806049
0.2182727,0.02075577,0.1353834,0.0733552,0,0.1302099,0,0.1238246,0.002405167,0.07166052,0.1125536,0.2046046,0.1035118,0.1295457,0,0.191344
0.2291179,0,0.1264856,0.1145396,0.0191958,0.1314192,0,0.1640296,0.1098328,0,0.08175468,0.2138114,0.04056454,0.1455188,0,0.1660836
0.2393465,0,0.08992887,0.1259809,0,0.07693958,0.09328508,0,0.2349806,0,0.08003759,0.3001351,0,0.1557665,0.02752686,0.1056385
0.2078538,0,0.09927773,0.09735632,0,0.03657055,0.1490808,0.05504704,0.303534,0,0.1471281,0.2878628,0.01438475,0.1424785,0.04617929,0.03811646
0.1527991,0,0.0166955,0.08785248,0,0.005299091,0.3226686,0.02220249,0.2474694,0,0.1303878,0.2874274,0.0650897,0.2011943,0,0.0455277
0,0,0.01995683,0.10706,0.01334524,0,0.4266434,0,0.204845,0.05710983,0.1356649,0.2455564,0.07047319,0.246274,0.008466244,0.05838013
0.02681494,0,0.07356143,0.08523512,0.03341889,0.01901197,0.3179188,0.05696774,0.2156653,0.1395693,0.162673,0.1475945,0.2378435,0.2180014,0.03002024,0.04866314
0,0,0.03240204,0.165833,0.04369092,0.1236839,0.2484298,0.03252411,0.1498814,0.1712995,0.1042295,0.09686708,0.2689934,0.2532377,0,0.08024383
