EL1: Electronic Ladder,A1: 40WkFrozen_F_2,B1: 40WkFrozen_F_3,C1: 44WkFrozen_F_2,D1: 44WkFrozen_F_3,E1: 48WkFrozen_F_2,F1: 48WkFrozen_F_3,G1: 52WkFrozen_F_2,H1: 52WkFrozen_F_3,A2: 52WkFrozen_F_3
0,0,0,0,0,0,0,0,0,0
0.02077436,0,0,0,0,0,0,0,0,0
0.003890991,0,0,0,0,0,0,0,0,0
0.004443645,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.001514435,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.01468706,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.04919553,0,0,0,0,0,0,0,0,0
0.07778025,0,0,0,0,0,0,0,0,0
0.06287456,0,0,0,0,0,0,0,0,0
0.143337,0,0,0,0,0,0,0,0,0
0.3017426,0,0,0,0,0,0,0,0,0
0.3133645,0,0,0,0,0,0,0,0,0
0.5862446,0,0,0,0,0,0,0,0,0
0.6384296,0,0,0,0,0,0,0,0,0
0.623435,0,0,0,0,0,0,0,0,0
0.7074766,0,0,0,0,0,0,0,0,0
0.7385635,0,0,0,0,0,0,0,0,0
0.6728959,0,0,0,0,0,0,0,0,0
0.53194,0,0,0,0,0,0,0,0,0
0.603312,0,0,0,0,0,0,0,0,0
0.523931,0,0,0,0,0,0,0,0,0
0.4217887,0,0,0,0,0,0,0,0,0
0.5978866,0,0,0,0,0,0,0,0,0
0.5986304,0,0,0,0,0,0,0,0,0
0.463788,0,0,0,0,0,0,0,0,0
0.5425901,0,0,0,0,0,0,0,0,0
0.5230641,0,0,0,0,0,0,0,0,0
0.4018135,0,0,0,0,0,0,0,0,0
0.447835,0,0,0,0,0,0,0,0,0
0.4380507,0,0,0,0,0,0,0,0,0
0.3837314,0,0,0,0,0,0,0,0,0
0.4111743,0,0,0,0,0,0,0,0,0
0.4198155,0,0,0,0,0,0,0,0,0
0.2100549,0,0,0,0,0,0,0,0,0
0.1311512,0,0,0,0,0,0,0,0,0
0.1020811,0,0,0,0,0,0,0,0,0
0.002857685,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0.08973789,0,0,0,0,0,0,0,0,0
0.1419425,0,0,0,0,0,0,0,0,0
0.0909667,0,0,0,0,0,0,0,0,0
0.1482263,0,0,0.03790426,0.0530858,0,0,0.0116396,0.004134178,0
0.2121367,0,0,0.03545117,0.03356314,0,0,0,0,0
0.01945496,0.02403712,0.003699303,0,0.02035236,0,0.02877569,0,0.01115036,0
0,0.001396656,0,0.01079273,0.03599668,0,0,0,0.01668596,0
0,0.002957106,0,0,0.05212259,0,0.01271057,0,0,0.001525402
