EL1: Electronic Ladder,A1: 40WkFrozen_F_3
0,0
0.02077436,0
0.003890991,0
0.004443645,0
0,0
0.001514435,0
0,0
0,0
0.01468706,0
0,0
0,0
0.04919553,0
0.07778025,0
0.06287456,0
0.143337,0
0.3017426,0
0.3133645,0
0.5862446,0
0.6384296,0
0.623435,0
0.7074766,0
0.7385635,0
0.6728959,0
0.53194,0
0.603312,0
0.523931,0
0.4217887,0
0.5978866,0
0.5986304,0
0.463788,0
0.5425901,0
0.5230641,0
0.4018135,0
0.447835,0
0.4380507,0
0.3837314,0
0.4111743,0
0.4198155,0
0.2100549,0
0.1311512,0
0.1020811,0
0.002857685,0
0,0
0,0
0,0
0.08973789,0
0.1419425,0
0.0909667,0
0.1482263,0.1178393
0.2121367,0.09994793
0.01945496,0.1679707
0,0.2065291
0,0.1607385
0,0.146946
0.08420372,0.08776999
0.03852177,0.06163359
0.1143756,0.008062363
0.2220144,0.06778049
0.4593344,0.1908402
0.3339543,0.1632295
0.2182727,0.3076839
0.2291179,0.3029938
0.2393465,0.2138276
0.2078538,0.2284045
0.1527991,0.1364098
0,0.04148626
0.02681494,0
0,0.01336479
0,0.02976561
0,0
0.004436493,0.02025223
0.1063318,0.00998354
0.03486204,0.04745102
0.07004738,0.1573458
0.1939974,0.1636958
0.2114682,0.1950793
0.3254375,0.2069893
0.3272204,0.1666021
0.3582625,0.1184287
0.6224704,0.03642559
0.6738214,0.03615713
0.6119556,0.05034161
0.3347888,0.08750105
0.1531692,0.1912646
0.07856035,0.2290897
0.02700949,0.2503228
0,0.1750531
0,0.1099896
0,0.06150341
0,0.007698536
0.04109764,0.07854462
0,0.04996061
0.02638292,0.04582119
0.06229401,0.1971698
0.04121494,0.2135177
0,0.1892982
0,0.07491493
0,0.07891512
0,0.0181036
0,0
0,0.03826475
0,0
0,0.05110931
0,0.1411605
0,0.1273165
0,0.04593706
0.3040228,0.04349899
1.405515,0.0875926
2.834507,0.05912018
4.043449,0.02303219
5.409372,0.1403208
7.060751,0.1570482
9.01142,0.1899238
11.38547,0.1235042
14.12005,0.1003628
17.26014,0.1189799
20.97051,0.1096559
25.3254,0.03597546
30.42628,0
36.0128,0
42.3921,0.06634474
49.75721,0.08950043
58.11675,0.02795982
67.09781,0
76.59318,0
86.53235,0.07110596
96.71154,0.01086807
107.3292,0
118.0085,0
128.5506,0.1158724
138.9781,0.1250849
148.6813,0.1137714
158.0438,0.06065178
165.8421,0.03144264
172.4071,0.1221981
177.1938,0.1331697
180.721,0.1818104
182.7976,0.1263213
184.0034,0.1114407
183.7612,0.1663089
182.0963,0.1228886
179.2551,0.126677
175.4089,0.1548109
169.8648,0.1295953
163.6694,0.1290936
156.3133,0.09388161
148.2467,0.1091728
139.6879,0
131.4263,0
122.399,0
113.4277,0
104.7552,0
96.02428,0.03209972
87.56607,0.05697012
79.93262,0
72.51277,0
65.42696,0
58.7887,0
53.03083,0.03985882
47.41869,0.0388751
42.51573,0.06625843
38.00323,0
34.11943,0
30.83343,0.05073404
28.08009,0
25.57552,0.007717609
23.51604,0
21.80286,0
20.47512,0
19.14278,0.08534098
18.04222,0.08775473
16.84309,0.02904272
16.03548,0.01207542
15.28468,0.07449007
14.43121,0.0630908
13.87171,0.1067195
13.48894,0.06280375
13.46001,0.08313894
13.14586,0.01928139
12.79887,0.06199884
12.60898,0.06426954
12.22836,0.04732847
11.97549,0
11.68075,0
11.16488,0
10.84782,0
10.45394,0
10.1925,0.03469133
9.845958,0
9.430903,0
9.227633,0
8.951421,0.001260757
8.649407,0.01601171
8.43328,0.0798173
8.136649,0.08472252
7.748421,0.1092038
7.452363,0.1571298
7.086936,0.1289887
6.854991,0.09550095
6.527324,0
6.17592,0
5.929846,0
5.731161,0
5.530811,0
5.314283,0
5.039759,0
4.879637,0
4.533747,0
4.246821,0.02295065
3.987095,0
3.707324,0
3.459528,0
3.27951,0
3.214552,0
3.010284,0
3.008267,0
2.798151,0
2.634225,0
2.382677,0
2.227367,0
2.095788,0
1.843846,0
1.697485,0
1.858475,0.6375341
1.811575,1.773489
1.964374,3.133778
1.901066,4.731029
1.778781,6.755739
1.556797,8.953146
1.403651,11.44408
1.308333,14.24435
1.10693,17.50487
1.049143,21.11881
1.241197,24.96035
1.354727,29.27194
1.502384,33.90673
1.519122,39.1348
1.324928,44.9949
1.076735,51.38923
0.9952097,58.49219
0.8940001,66.13544
0.725214,74.62946
0.6926012,83.83721
0.6888208,93.66505
0.7387056,104.3616
0.8532467,116.1491
0.7408857,129.1831
0.7472887,143.4187
0.8692646,158.507
1.168772,175.155
1.190784,193.1788
1.200372,212.4987
1.114477,232.9308
0.9727325,255.5426
0.8234692,278.7692
0.8036432,304.7504
0.7431259,330.7527
0.7612772,357.989
1.037474,386.2046
1.257266,414.2348
1.272376,442.701
1.354032,469.3134
1.327152,493.623
1.441128,514.6537
1.437162,528.3394
1.53565,534.4468
1.483832,530.9435
1.313531,516.8134
1.350208,493.5096
1.262451,462.8386
1.230331,427.5238
1.182846,388.562
1.293417,348.4262
1.43209,309.1208
1.565934,271.6051
1.778693,237.7213
1.832576,208.6263
1.958308,183.0369
2.013226,162.9342
1.900956,148.6632
1.976776,138.579
1.942533,132.3171
2.064632,128.8707
2.001075,128.2869
2.192392,130.2538
2.310712,134.6683
2.362311,141.5659
2.456297,151.032
2.468528,162.5247
2.466484,177.0455
2.562199,194.0573
2.688143,213.627
2.760905,235.4953
2.684251,259.9213
2.796084,287.1867
2.842338,315.3016
2.957272,344.6802
3.109657,375.2403
3.35411,407.3212
3.562705,441.2098
3.711011,473.9844
3.779229,506.2588
3.873752,538.7105
3.97186,569.5289
4.120864,598.9022
4.407995,623.7465
4.740877,644.3975
5.183635,662.0733
5.696602,673.8294
6.020205,683.3768
6.294484,688.5475
6.550032,689.5993
7.067249,687.6898
7.607132,681.1109
7.999272,669.0724
8.483399,652.3896
9.100471,633.5063
9.723855,611.3401
10.54847,585.2109
11.37495,559.1345
12.50006,533.334
13.92115,505.9527
15.43674,479.9891
17.24239,454.3682
19.26184,426.8596
21.67051,403.868
24.47736,384.8179
27.67189,367.4455
31.58931,353.551
35.96396,343.3716
40.95355,336.9516
46.12794,332.7776
51.64317,330.5893
57.59286,328.7281
63.7354,325.979
69.85553,324.4073
75.89359,321.4979
81.78076,316.873
87.19453,311.3094
91.76865,304.867
95.54222,296.114
98.08273,286.2105
99.29156,274.1512
99.06339,261.2146
97.45181,247.9
94.50578,234.1611
90.77435,220.9278
86.22996,208.3029
80.70927,197.0049
74.90852,186.9587
68.94247,178.0895
62.84081,170.9083
56.55688,164.8512
50.46388,159.9781
44.74711,156.2787
39.44721,153.0638
34.87772,150.6134
30.95333,148.7007
27.34794,147.1025
24.55551,145.5477
22.37551,144.0258
20.65787,142.5836
19.16058,141.0263
18.21872,139.5795
17.438,138.054
16.86738,136.4557
16.64213,134.7545
16.57688,133.0918
16.45852,131.4499
16.46589,129.7844
16.63826,127.9806
16.67247,126.3122
16.84927,124.7704
17.22406,123.3539
17.14243,122.1292
17.43853,120.8844
17.82478,119.6021
17.96032,118.3943
18.25215,117.1892
18.41615,115.8151
18.5258,114.1702
18.76223,112.6252
19.05353,110.7842
19.16386,108.9766
