EL1: Electronic Ladder,A1: OC_ReSeq_2_Pool_Redo
5.67161,0
5.343884,0
5.153187,0
4.695121,0
4.16907,0
4.100934,0
3.821188,0
4.228885,0
4.178646,0
3.743477,0
3.578838,0
3.304523,0
3.334723,0
2.495985,0
2.091307,0
2.112174,0
1.98856,0
2.337534,0
2.66657,0
2.847709,0
2.895757,0
2.958101,0
3.571398,0
3.196818,0
3.434913,0
3.465452,0
3.692435,0
3.425135,0
3.353402,0
3.092937,0
2.734993,0.01301742
3.059315,0.172327
3.125,0.4107435
2.889004,0.6630261
3.012544,0.8898919
2.52619,1.177661
2.410615,1.257526
1.839864,1.278815
1.826594,1.362096
1.71341,1.347785
1.763825,1.273931
1.97523,1.449749
1.864538,1.660642
1.714411,1.69001
1.448491,1.880868
0.6471062,2.069583
0.4529276,2.162828
0.5404768,2.076174
0.6678228,1.946468
1.198462,1.950412
1.129963,1.869602
1.402454,1.850726
1.631498,1.887694
1.628022,1.907898
2.084245,2.113622
2.10373,2.254817
2.258001,2.364964
2.671431,2.338
2.471206,2.439243
2.236911,2.482137
1.619777,2.625655
1.370938,2.737566
1.280247,2.902626
1.218043,3.000978
1.631573,3.055416
1.927051,2.911046
2.102331,2.800517
2.160947,2.849211
1.827814,2.732656
1.854458,2.55332
1.829032,2.537185
2.109325,2.304837
2.28896,2.188159
2.249399,2.040667
2.271634,2.013457
2.273936,1.934423
1.733254,2.11498
1.522722,2.30112
1.390265,2.34042
1.539382,2.410331
1.574909,2.355337
1.86188,2.160297
2.063796,2.065575
2.095089,2.025395
2.110511,1.968659
1.89578,1.944736
1.298581,1.874727
1.274374,1.863295
1.552822,1.835665
1.99271,1.977425
2.517243,1.960178
2.596881,2.061412
2.61088,1.865372
2.614281,1.952093
2.617175,1.858716
2.353371,1.8722
1.966084,1.689932
1.947161,1.62166
2.195862,1.538399
2.547132,1.637444
2.872549,1.659544
3.146883,1.744834
3.521957,1.560727
4.070213,1.709691
4.578415,1.729756
5.38422,1.676023
6.450249,1.651717
7.516181,1.676951
9.16721,1.602983
11.2698,1.610896
13.45449,1.634783
15.63965,1.721478
18.32106,1.686285
20.71549,1.75998
23.15751,1.562635
25.77766,1.277095
29.08729,1.136952
32.21646,1.038477
36.03519,0.9302268
40.07378,0.8969517
44.48911,1.130145
48.75198,1.301486
53.79432,1.369634
58.44395,1.516277
62.86916,1.498407
67.34677,1.45973
71.84332,1.350524
75.898,1.254263
80.08433,1.198982
83.6477,1.136081
87.51508,1.210503
91.24525,1.112803
94.91251,1.213083
98.38662,1.230673
101.2011,1.370954
103.8705,1.403186
106.5751,1.381498
109.0437,1.390797
110.9587,1.353977
112.5597,1.293945
113.7874,1.099365
114.5358,1.050394
114.9559,1.102409
115.0807,1.028025
114.4345,1.123374
114.2186,1.149091
113.4779,1.241507
111.7196,1.279748
109.752,1.333977
107.9865,1.324961
105.0464,1.092749
102.0777,1.057294
99.26263,0.9774966
96.16311,0.93396
92.77648,1.11273
89.63013,1.35279
85.45242,1.785178
81.06892,2.326229
76.80279,3.141327
72.95224,4.021781
68.74364,5.007834
64.80241,6.048892
60.92007,7.003623
57.40572,8.194419
54.13783,9.56216
51.06302,10.96767
48.01545,12.71087
44.97638,14.51338
42.09236,16.5803
39.54374,18.7823
36.60004,21.13432
34.15993,23.44496
31.55228,25.84317
29.76143,28.43323
28.34521,30.98242
26.86566,33.59183
25.40844,36.19688
23.95279,38.71397
22.68516,41.21401
21.40881,43.71332
19.99539,46.14047
19.00775,48.58951
17.7072,50.98253
17.04106,53.34572
16.0809,55.57827
15.09437,57.81237
14.05822,59.94748
13.51845,62.14764
12.53926,64.18843
12.23302,66.41745
11.60814,68.16571
11.10799,69.99778
10.78751,71.84837
10.54496,73.57076
10.13326,75.22678
9.455751,76.76912
8.71664,78.17824
8.346102,79.37442
7.367471,80.43877
7.151709,81.34587
6.28351,81.62145
5.700244,81.79834
5.592739,81.87183
5.523729,81.60015
5.282448,81.14073
5.007115,80.23073
4.414913,79.0942
4.077434,77.55759
3.975269,75.73517
3.854426,73.83777
3.423222,71.51223
3.248537,68.97181
3.278964,66.17563
2.875395,63.08521
2.455748,59.95219
2.39248,56.82443
1.804528,53.75179
1.451235,50.28257
1.696356,46.89104
1.670846,43.90153
1.565082,40.88327
1.89157,38.05493
1.912205,35.23555
1.848583,32.56207
1.923351,30.22157
2.015747,27.95142
1.910073,25.75281
1.525136,23.37991
1.345008,21.24622
1.239681,19.36264
0.9372854,17.65852
1.064914,16.14397
0.7873735,14.77804
1.037045,13.60139
0.8352447,12.48719
0.5625849,11.33418
0.3524728,10.28999
0.4050994,9.309703
0.3902464,8.438571
0.8423958,7.790219
0.9292064,7.106114
1.051457,6.530491
1.118791,5.924465
1.336656,5.459584
1.190555,4.950367
1.009429,4.475012
0.7832565,4.149479
0.8915291,3.88303
0.8329163,3.642558
0.6521087,3.639764
0.2211986,3.552085
0,3.412454
0.02896261,3.230296
0.1346111,3.081163
0.1683817,2.836881
0.4615407,2.539687
0.361062,2.502515
0.544158,2.316218
0.571795,2.231588
0.3635006,2.169075
0.4478602,2.062939
0.6165104,1.977782
0.7956023,1.999404
0.9274778,1.799922
0.9178553,1.613656
1.10151,1.428923
0.9069414,1.375161
0.8590899,1.248208
1.070095,1.14124
1.548564,1.021913
2.308267,1.075563
3.553594,1.155163
5.392163,1.117612
7.363918,1.023126
10.06525,1.009668
13.19728,1.025883
16.75124,1.036068
20.95447,1.047253
26.05841,1.06364
32.09608,1.088991
38.93177,0.9802735
46.97097,0.7721357
55.66142,0.6739669
65.05116,0.6490333
75.46088,0.6310103
85.7291,0.593209
96.82473,0.6613061
108.7583,0.6670814
120.656,0.7381549
132.5666,0.8426704
143.4603,0.7971001
153.6752,0.8501372
162.5307,1.031052
169.7245,1.060742
174.4341,1.034801
176.4664,0.9710126
176.8462,0.8849926
174.8582,0.7987113
169.7182,0.7743335
162.2359,0.808742
152.5326,0.7696609
141.2123,0.8525641
128.348,0.963717
114.2553,0.9980283
99.67175,0.9850941
85.54811,0.9342284
72.20264,0.8429499
59.53468,0.8926334
47.87521,0.8614898
38.38578,0.8448482
30.55694,0.8126192
24.21371,0.7219219
19.19151,0.6496472
15.53452,0.5372353
13.37583,0.4192228
11.89517,0.2879262
10.84595,0.2910473
9.766118,0.324472
8.776741,0.3925524
8.29179,0.4794264
7.844216,0.4591329
7.306865,0.467175
6.777343,0.6416202
6.892305,0.7660036
7.045538,0.8744683
6.958939,0.8921275
7.153193,0.8149285
7.078785,0.7471108
6.697568,0.6909661
6.884301,0.7285299
7.002736,0.7554469
6.67099,0.8289671
