EL1: Electronic Ladder,A1: Fresh_Mo_F_1,B1: Fresh_Mo_F_2,C1: Fresh_Mo_F_3
0,0,0,0
0.02077436,0,0,0
0.003890991,0,0,0
0.004443645,0,0,0
0,0,0,0
0.001514435,0,0,0
0,0,0,0
0,0,0,0
0.01468706,0,0,0
0,0,0,0
0,0,0,0
0.04919553,0,0,0
0.07778025,0,0,0
0.06287456,0,0,0
0.143337,0,0,0
0.3017426,0,0,0
0.3133645,0,0,0
0.5862446,0,0,0
0.6384296,0,0,0
0.623435,0,0,0
0.7074766,0,0,0
0.7385635,0,0,0
0.6728959,0,0,0
0.53194,0,0,0
0.603312,0,0,0
0.523931,0,0,0
0.4217887,0,0,0
0.5978866,0,0,0
0.5986304,0,0,0
0.463788,0,0,0
0.5425901,0,0,0
0.5230641,0,0,0
0.4018135,0,0,0
0.447835,0,0,0
0.4380507,0,0,0
0.3837314,0,0,0
0.4111743,0,0,0
0.4198155,0,0,0
0.2100549,0,0,0
0.1311512,0,0,0
0.1020811,0,0,0
0.002857685,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.08973789,0,0,0
0.1419425,0,0,0
0.0909667,0,0,0
0.1482263,0.2322936,0,0
0.2121367,0.43472,0,0
0.01945496,0.6215248,0,0.0164032
0,0.623703,0,0.00232029
0,0.5751624,0,0.02048349
0,0.4907637,0,0.1285162
0.08420372,0.5231872,0.01522994,0.1860318
0.03852177,0.5472574,0.04662561,0.1949949
0.1143756,0.5794382,0.1848111,0.2209754
0.2220144,0.4968243,0.2669995,0.2790337
0.4593344,0.4584188,0.4085319,0.2499228
0.3339543,0.4543533,0.4312017,0.1293197
0.2182727,0.4178967,0.3683126,0.07339907
0.2291179,0.4022961,0.301199,0
0.2393465,0.3538966,0.1282113,0.00357151
0.2078538,0.4222493,0,0.006258011
0.1527991,0.3840466,0,0
0,0.3723264,0,0.05514908
0.02681494,0.3558173,0.07583189,0.1222281
0,0.3281355,0.1341357,0.2022796
0,0.260181,0.1925216,0.2125082
0,0.1711135,0.2161405,0.2329702
0.004436493,0.1780019,0.256187,0.2082119
0.1063318,0.2495356,0.2816715,0.1324019
0.03486204,0.1111095,0.2002079,0.07287407
0.07004738,0.1845903,0.09442711,0.04546356
0.1939974,0.2054734,0.04659534,0
0.2114682,0.2376637,0.06775308,0
0.3254375,0.3235846,0.05887318,0
0.3272204,0.4080582,0.03690672,0.0005660057
0.3582625,0.3323894,0.0637753,0.04145241
0.6224704,0.1724677,0.07372022,0.08760548
0.6738214,0.1624944,0.1256974,0
0.6119556,0.08268666,0.1039808,0
0.3347888,0.01072574,0.007149935,0.01839828
0.1531692,0.06271005,0,0.1266241
0.07856035,0.06667471,0,0.1983275
0.02700949,0.07154155,0,0.2355142
0,0.1527224,0,0.2338328
0,0.2422347,0,0.2617793
0,0.2311192,0.1126678,0.2678571
0,0.1750035,0.2133756,0.171154
0.04109764,0.16997,0.3454137,0.0002670288
0,0.2247353,0.3269207,0
0.02638292,0.2873845,0.4100473,0
0.06229401,0.2779055,0.4533877,0.07750034
0.04121494,0.2336226,0.440146,0.1660371
0,0.2562857,0.4626889,0.1968417
